pim,team,assists,plus_minus,points,league,games_played,year,age,goals
5,Ottawa Seconds,0,0,1,OCHL,2,1908-09,18,1
14,Ottawa Seconds,0,0,1,OCHL,3,1909-10,19,1
6,Ottawa New Edinburghs,0,0,6,IPAHU,3,1910-11,20,6
6,Ottawa New Edinburghs,0,0,8,IPAHU,4,1911-12,21,8
6,Ottawa New Edinburghs,0,0,6,IPAHU,6,1912-13,22,6
6,Ottawa Senators,0,0,1,NHA,5,1914-15,24,1
6,Ottawa Senators,2,0,3,NHA,2,1916-17,26,1
3,Ottawa Senators,1,0,3,St-Cup,5,1919-20,29,2
44,Ottawa Senators,0,0,0,St-Cup,5,1920-21,30,0
0,Toronto St. Patricks,0,0,0,St-Cup,1,1921-22,31,0
4,Ottawa Senators,0,0,1,St-Cup,6,1922-23,32,1
