shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
7.9,0,1998-99,26,27,1292,0,0,0,178,7,10,8,34,COL,14,0,0,22,5,NHL,0,0,15:45,0,82,0,48,"[{'link': '/awards/voting-1999.html#calder', 'name': 'Calder-3'}]",4
15.8,0,1999-00,16,21,1638,1,0,0,228,14,23,14,36,COL,36,0,0,23,9,NHL,0,0,19:58,0,82,0,72,"[{'link': '/awards/voting-2000.html#byng', 'name': 'Byng-11'}]",13
19.2,0,2000-01,36,21,1589,2,0,0,213,15,28,32,38,COL,41,0,0,24,9,NHL,1,0,19:52,0,80,0,79,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2001.html#byng', 'name': 'Byng-42'}, {'link': '/awards/voting-2001.html#selke', 'name': 'Selke-20'}]",12
15.1,0,2001-02,24,12,1252,0,0,0,139,11,13,0,23,COL,21,0,0,25,5,NHL,1,0,20:11,0,62,0,44,[],7
0,0,2002-03,32,31,1627,0,0,0,244,17,0,0,48,COL,0,0,0,26,4,NHL,0,0,19:50,0,82,0,98,"[{'link': '/awards/nhl_all_star.html#2003', 'name': None}, {'link': '/awards/voting-2003.html#byng', 'name': 'Byng-4'}, {'link': '/awards/voting-2003.html#hart', 'name': 'Hart-12'}, {'link': '/awards/richard.html#2003', 'name': None}, {'link': '/awards/voting-2003.html#selke', 'name': 'Selke-20'}]",18
14.8,0,2003-04,20,27,1539,1,0,0,237,12,19,19,40,COL,35,0,0,27,6,NHL,0,0,18:46,0,82,0,75,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2004.html#byng', 'name': 'Byng-7'}]",16
10.9,0,2005-06,24,24,1373,1,0,0,221,9,9,13,34,COL,24,0,0,29,2,NHL,1,0,18:33,0,74,0,58,[],14
13.6,0,2006-07,44,23,1430,0,0,0,257,12,22,10,35,COL,35,0,0,30,6,NHL,1,0,17:53,0,80,0,70,[],12
14.1,82,2007-08,36,18,1490,0,33,320,205,7,20,8,25,COL,29,41,39.7,31,4,NHL,1,10,19:21,17,77,54,54,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-72'}]",8
12.8,88,2008-09,16,23,1634,0,43,351,211,9,16,-19,32,COL,27,63,45.0,32,2,NHL,1,31,19:56,30,82,72,59,"[{'link': '/awards/voting-2009.html#byng', 'name': 'Byng-23'}]",10
15.0,10,2009-10,10,12,1065,0,13,233,153,9,15,6,21,COL,23,32,28.6,33,4,NHL,0,21,19:01,30,56,4,44,[],8
12.9,3,2010-11,18,20,1273,0,23,254,170,14,12,-23,34,COL,22,38,40.0,34,2,NHL,0,31,17:55,9,71,2,56,"[{'link': '/awards/voting-2011.html#byng', 'name': 'Byng-30'}]",10
8.2,6,2011-12,14,15,1378,0,24,291,170,8,8,-12,23,COL,14,30,25.0,35,1,NHL,0,29,17:01,35,81,2,37,"[{'link': '/awards/voting-2012.html#byng', 'name': 'Byng-46'}]",6
9.8,4,2012-13,0,6,381,0,16,69,41,1,2,-7,7,COL,4,6,33.3,36,0,NHL,0,8,13:09,6,29,2,11,"[{'link': '/awards/voting-2013.html#byng', 'name': 'Byng-36'}]",2
