game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,5.6,-3,18,1,19,,12,5,1986-87,6,0,1,0,TOR,,8,,NHL
0,0.0,-3,4,0,20,,6,1,1987-88,1,0,0,0,TOR,,10,,NHL
0,0.0,1,10,0,22,,5,2,1989-90,2,0,0,0,TOR,,2,,NHL
0,13.3,5,45,1,24,,16,8,1991-92,14,0,6,5,EDM,,8,,NHL
0,21.2,8,52,0,25,,20,12,1992-93,23,0,11,6,MTL,SC,16,,NHL
0,7.1,-1,14,0,26,,7,2,1993-94,3,0,1,1,MTL,,8,,NHL
2,15.4,2,26,0,28,,6,4,1995-96,8,1,4,3,MTL,,0,,NHL
0,0.0,-5,7,0,29,,5,0,1996-97,0,0,0,0,MTL,,2,,NHL
0,7.1,-4,42,1,30,,10,6,1997-98,9,0,3,2,MTL,,22,,NHL
0,13.6,1,22,0,31,22:58,6,2,1998-99,5,0,3,1,SJS,,6,138,NHL
0,3.6,-5,28,1,32,22:14,12,7,1999-00,8,0,1,0,SJS,,16,267,NHL
0,13.3,-1,15,0,33,20:22,6,1,2000-01,3,1,2,1,SJS,,14,122,NHL
0,11.8,-1,17,1,34,19:14,12,6,2001-02,8,0,2,1,SJS,,12,231,NHL
3,18.9,0,37,3,36,18:53,17,7,2003-04,14,0,7,4,SJS,,20,321,NHL
