points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/houslph01c.html', 'name': 'P. Housley'}]",NHL,BUF,2017-18,0,0,0,Buffalo Sabres,0,,0,0,
78,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,BUF,2016-17,33,37,12,Buffalo Sabres,.476,,0,82,8th
81,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,BUF,2015-16,35,36,11,Buffalo Sabres,.494,,0,82,7th
54,"[{'link': '/coaches/nolante01c.html', 'name': 'T. Nolan'}]",NHL,BUF,2014-15,23,51,8,Buffalo Sabres,.329,,0,82,8th
52,"[{'link': '/coaches/nolante01c.html', 'name': 'T. Nolan'}, {'link': '/coaches/rolstro01c.html', 'name': 'R. Rolston'}]",NHL,BUF,2013-14,21,51,10,Buffalo Sabres,.317,,0,82,8th
48,"[{'link': '/coaches/rolstro01c.html', 'name': 'R. Rolston'}, {'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2012-13,21,21,6,Buffalo Sabres,.500,,0,48,5th
89,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2011-12,39,32,11,Buffalo Sabres,.543,,0,82,3rd
96,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2010-11,43,29,10,Buffalo Sabres,.585,Lost NHL Conference Quarter-Finals,0,82,2nd
100,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2009-10,45,27,10,Buffalo Sabres,.610,Lost NHL Conference Quarter-Finals,0,82,1st
91,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2008-09,41,32,9,Buffalo Sabres,.555,,0,82,3rd
90,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2007-08,39,31,12,Buffalo Sabres,.549,,0,82,4th
113,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2006-07,53,22,7,Buffalo Sabres,.689,Lost NHL Conference Finals,0,82,1st
110,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2005-06,52,24,6,Buffalo Sabres,.671,Lost NHL Conference Finals,0,82,2nd
85,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2003-04,37,34,4,Buffalo Sabres,.518,,7,82,5th
72,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2002-03,27,37,8,Buffalo Sabres,.439,,10,82,5th
82,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2001-02,35,35,1,Buffalo Sabres,.500,,11,82,5th
98,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,2000-01,46,30,1,Buffalo Sabres,.598,Lost NHL Conference Semi-Finals,5,82,2nd
85,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,1999-00,35,32,4,Buffalo Sabres,.518,Lost NHL Conference Quarter-Finals,11,82,3rd
91,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,1998-99,37,28,0,Buffalo Sabres,.555,Lost Stanley Cup Final,17,82,4th
89,"[{'link': '/coaches/ruffli01c.html', 'name': 'L. Ruff'}]",NHL,BUF,1997-98,36,29,0,Buffalo Sabres,.543,Lost NHL Conference Finals,17,82,3rd
92,"[{'link': '/coaches/nolante01c.html', 'name': 'T. Nolan'}]",NHL,BUF,1996-97,40,30,0,Buffalo Sabres,.561,Lost NHL Conference Semi-Finals,12,82,1st
73,"[{'link': '/coaches/nolante01c.html', 'name': 'T. Nolan'}]",NHL,BUF,1995-96,33,42,0,Buffalo Sabres,.445,,7,82,5th
51,"[{'link': '/coaches/muckljo99c.html', 'name': 'J. Muckler'}]",NHL,BUF,1994-95,22,19,0,Buffalo Sabres,.531,Lost NHL Conference Quarter-Finals,7,48,4th
95,"[{'link': '/coaches/muckljo99c.html', 'name': 'J. Muckler'}]",NHL,BUF,1993-94,43,32,0,Buffalo Sabres,.565,Lost NHL Conference Quarter-Finals,9,84,4th
86,"[{'link': '/coaches/muckljo99c.html', 'name': 'J. Muckler'}]",NHL,BUF,1992-93,38,36,0,Buffalo Sabres,.512,Lost NHL Division Finals,10,84,4th
74,"[{'link': '/coaches/dudleri01c.html', 'name': 'R. Dudley'}, {'link': '/coaches/muckljo99c.html', 'name': 'J. Muckler'}]",NHL,BUF,1991-92,31,37,0,Buffalo Sabres,.463,Lost NHL Division Semi-Finals,12,80,3rd
81,"[{'link': '/coaches/dudleri01c.html', 'name': 'R. Dudley'}]",NHL,BUF,1990-91,31,30,0,Buffalo Sabres,.506,Lost NHL Division Semi-Finals,19,80,3rd
98,"[{'link': '/coaches/dudleri01c.html', 'name': 'R. Dudley'}]",NHL,BUF,1989-90,45,27,0,Buffalo Sabres,.613,Lost NHL Division Semi-Finals,8,80,2nd
83,"[{'link': '/coaches/satorte99c.html', 'name': 'T. Sator'}]",NHL,BUF,1988-89,38,35,0,Buffalo Sabres,.519,Lost NHL Division Semi-Finals,7,80,3rd
85,"[{'link': '/coaches/satorte99c.html', 'name': 'T. Sator'}]",NHL,BUF,1987-88,37,32,0,Buffalo Sabres,.531,Lost NHL Division Semi-Finals,11,80,3rd
64,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}, {'link': '/coaches/ramsacr01c.html', 'name': 'C. Ramsay'}, {'link': '/coaches/satorte99c.html', 'name': 'T. Sator'}]",NHL,BUF,1986-87,28,44,0,Buffalo Sabres,.400,,8,80,5th
80,"[{'link': '/coaches/schoeji01c.html', 'name': 'J. Schoenfeld'}, {'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,BUF,1985-86,37,37,0,Buffalo Sabres,.500,,6,80,5th
90,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,BUF,1984-85,38,28,0,Buffalo Sabres,.563,Lost NHL Division Semi-Finals,14,80,3rd
103,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,BUF,1983-84,48,25,0,Buffalo Sabres,.644,Lost NHL Division Semi-Finals,7,80,2nd
89,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,BUF,1982-83,38,29,0,Buffalo Sabres,.556,Lost NHL Division Finals,13,80,3rd
93,"[{'link': '/coaches/roberji01c.html', 'name': 'J. Roberts'}, {'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,BUF,1981-82,39,26,0,Buffalo Sabres,.581,Lost NHL Division Semi-Finals,15,80,3rd
99,"[{'link': '/coaches/neilsro99c.html', 'name': 'R. Neilson'}]",NHL,BUF,1980-81,39,20,0,Buffalo Sabres,.619,Lost NHL Quarter-Finals,21,80,1st
110,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,BUF,1979-80,47,17,0,Buffalo Sabres,.688,Lost NHL Semi-Finals,16,80,1st
88,"[{'link': '/coaches/pronoma01c.html', 'name': 'M. Pronovost'}, {'link': '/coaches/inglibi01c.html', 'name': 'B. Inglis'}]",NHL,BUF,1978-79,36,28,0,Buffalo Sabres,.550,Lost NHL Preliminary Round,16,80,2nd
105,"[{'link': '/coaches/pronoma01c.html', 'name': 'M. Pronovost'}]",NHL,BUF,1977-78,44,19,0,Buffalo Sabres,.656,Lost NHL Quarter-Finals,17,80,2nd
104,"[{'link': '/coaches/smithfl01c.html', 'name': 'F. Smith'}]",NHL,BUF,1976-77,48,24,0,Buffalo Sabres,.650,Lost NHL Quarter-Finals,8,80,2nd
105,"[{'link': '/coaches/smithfl01c.html', 'name': 'F. Smith'}]",NHL,BUF,1975-76,46,21,0,Buffalo Sabres,.656,Lost NHL Quarter-Finals,13,80,2nd
113,"[{'link': '/coaches/smithfl01c.html', 'name': 'F. Smith'}]",NHL,BUF,1974-75,49,16,0,Buffalo Sabres,.706,Lost Stanley Cup Final,15,80,1st
