age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
23,,6.3,1,4,-1,NHL,8,0,1969-70,0,16,1,,0,9,,CBH,5
24,,19.4,4,9,4,NHL,18,0,1970-71,1,36,7,,3,18,,CBH,16
25,,0.0,0,0,-5,NHL,8,0,1971-72,0,11,0,,0,11,,CBH,0
26,,12.1,4,6,-2,NHL,16,0,1972-73,0,33,4,,0,6,,CBH,10
27,,12.5,1,5,-1,NHL,11,0,1973-74,0,16,2,,1,13,,CBH,7
28,,23.1,1,5,-1,NHL,8,0,1974-75,0,13,3,,2,8,,CBH,8
29,,10.0,0,0,-2,NHL,4,0,1975-76,0,10,1,,1,0,,CBH,1
30,,0.0,0,0,-3,NHL,2,0,1976-77,0,2,0,,0,0,,CBH,0
31,,25.0,1,0,-3,NHL,4,0,1977-78,0,4,1,,0,0,,CBH,1
32,,0.0,0,0,-5,NHL,4,0,1978-79,0,2,0,,0,0,,CBH,0
33,,0.0,0,0,0,NHL,2,0,1979-80,0,1,0,,0,2,,CBH,0
