assists,team,goals,year,games_played,points,pim,age,plus_minus,league
22,Pembroke Lumber Kings,28,1983-84,53,50,117,17,0,ON-Jr.A
16,Belleville Bulls,7,1984-85,58,23,117,18,0,OHL
13,Belleville Bulls,14,1985-86,60,27,172,19,0,OHL
40,Belleville Bulls,47,1986-87,60,87,187,20,0,OHL
13,Flint Spirits,13,1987-88,50,26,337,21,0,IHL
4,Fredericton Express,0,1987-88,2,4,11,21,0,AHL
14,Milwaukee Admirals,12,1988-89,63,26,307,22,0,IHL
17,Milwaukee Admirals,23,1989-90,61,40,273,23,0,IHL
5,Newmarket Saints,2,1990-91,22,7,66,24,0,AHL
11,Milwaukee Admirals,9,1990-91,39,20,134,24,0,IHL
27,St. John\'s Maple Leafs,30,1991-92,66,57,139,25,0,AHL
41,St. John\'s Maple Leafs,21,1992-93,72,62,103,26,0,AHL
14,Cleveland Lumberjacks,19,1993-94,76,33,115,27,0,IHL
8,2 Teams,12,1994-95,51,20,124,28,0,IHL
0,Cleveland Lumberjacks,2,1994-95,4,2,29,28,0,IHL
8,Minnesota Moose,10,1994-95,47,18,95,28,0,IHL
12,Cincinnati Cyclones,16,1995-96,73,28,65,29,0,IHL
13,Cincinnati Cyclones,13,1996-97,81,26,162,30,0,IHL
23,Cincinnati Cyclones,13,1997-98,71,36,168,31,10,IHL
32,Cincinnati Cyclones,20,1998-99,82,52,171,32,8,IHL
17,Cincinnati Cyclones,14,1999-00,61,31,98,33,-7,IHL
14,ESC Moskitos Essen,18,2001-02,49,32,146,35,0,Germany
22,Hannover Scorpions,7,2002-03,43,29,138,36,0,Germany
