assists,year,games_played,points,goals,team,age,pim,plus_minus,league
41,2000-01,36,96,55,Winnipeg Warriors,15,74,0,MMMHL
19,2001-02,54,34,15,Kootenay Ice,16,14,-1,WHL
45,2002-03,72,92,47,Kootenay Ice,17,54,2,WHL
23,2003-04,56,70,47,Kootenay Ice,18,31,2,WHL
0,2003-04,4,0,0,Hartford Wolf Pack,18,0,-3,AHL
5,2003-04,6,11,6,Canada,18,0,10,WJC-A
26,2004-05,63,76,50,Kootenay Ice,19,30,26,WHL
4,2004-05,6,6,2,Canada,19,6,8,WJC-A
32,2005-06,77,67,35,Hartford Wolf Pack,20,21,16,AHL
33,2006-07,65,60,27,Hartford Wolf Pack,21,29,10,AHL
20,2007-08,20,34,14,Hartford Wolf Pack,22,2,8,AHL
31,2010-11,66,72,41,2 Teams,25,24,15,AHL
17,2010-11,47,44,27,Chicago Wolves,25,17,2,AHL
14,2010-11,19,28,14,Hamilton Bulldogs,25,7,13,AHL
17,2011-12,52,33,16,Barys Astana,26,34,0,KHL
14,2012-13,51,34,20,Barys Astana,27,28,0,KHL
