pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Guelph Biltmores,0,0,3,OHA-Jr.,3,1955-56,19,3
0,Guelph Biltmores,1,0,1,M-Cup,6,1955-56,19,0
8,Guelph Biltmores,5,0,9,OHA-Jr.,10,1956-57,20,4
0,Guelph Biltmores,1,0,1,M-Cup,6,1956-57,20,0
0,Belleville McFarlands,8,0,13,Al-Cup,7,1957-58,21,5
2,Seattle Totems,2,0,6,WHL,12,1958-59,22,4
0,Seattle/Victoria,4,0,9,WHL,11,1959-60,23,5
0,Victoria Cougars,4,0,4,WHL,5,1960-61,24,0
0,Portland Buckaroos,5,0,9,WHL,7,1962-63,26,4
0,Portland Buckaroos,3,0,4,WHL,5,1963-64,27,1
8,Portland Buckaroos,8,0,15,WHL,10,1964-65,28,7
4,Portland Buckaroos,9,0,17,WHL,14,1965-66,29,8
4,Portland Buckaroos,0,0,0,WHL,4,1966-67,30,0
0,Portland Buckaroos,2,0,3,WHL,11,1968-69,32,1
12,Vancouver Canucks,16,0,21,WHL,11,1969-70,33,5
8,San Diego Gulls,4,0,5,WHL,6,1970-71,34,1
0,San Diego Gulls,2,0,2,WHL,4,1971-72,35,0
13,San Diego Gulls,1,0,1,WHL,6,1972-73,36,0
0,San Diego Gulls,0,0,0,WHL,4,1973-74,37,0
0,Cranbrook Royals,16,0,22,WIHL,12,1975-76,39,6
