bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,3.45,0,59,NHL,0,18,0,51,7,0,0,0,8,.864,1983-84,BUF,2,,0,0,0,3,139
0,0,0,4.40,-4.16,151,NHL,0,19,0,129,2,0,0,123,22,.854,1984-85,BUF,3,,0,0,2,5,300
0,0,0,4.29,-0.30,120,NHL,0,22,0,104,0,0,0,102,16,.867,1987-88,BUF,3,,0,0,1,4,224
0,0,1,3.80,1.45,389,NHL,0,23,0,349,8,0,0,97,40,.897,1988-89,PIT,4,,1,0,7,11,631
0,0,1,0,14.64,0,NHL,0,25,0,0,2,0,0,78,51,.919,1990-91,PIT,7,SC,1,0,12,20,1175
0,1,2,2.82,6.48,0,NHL,0,26,0,0,4,0,0,90,0,.907,1991-92,PIT,5,SC,2,0,0,0,0
0,0,3,2.91,3.56,370,NHL,0,27,0,335,4,0,0,91,35,.905,1992-93,PIT,5,,3,0,7,12,722
0,0,0,2.87,-2.14,162,NHL,0,28,0,145,4,0,0,114,17,.895,1993-94,PIT,4,,0,0,2,6,356
0,0,0,6.00,0,41,NHL,0,29,0,33,2,0,0,0,8,.805,1994-95,PIT,1,,0,0,0,2,80
0,1,0,2.80,5.24,337,NHL,0,30,0,311,8,0,0,83,26,.923,1995-96,PIT,5,,0,0,4,10,558
0,0,0,2.71,-2.48,171,NHL,0,32,0,154,2,0,0,117,17,.901,1997-98,PIT,4,,0,0,2,6,376
0,1,0,2.67,-5.17,350,NHL,0,33,0,315,4,0,0,117,35,.900,1998-99,PIT,7,,0,0,6,13,787
0,0,0,2.58,-2.28,168,NHL,0,34,0,152,2,0,0,117,16,.905,1999-00,OTT,4,,0,0,2,6,372
