assists,team,goals,year,games_played,points,pim,age,plus_minus,league
9,Fort Erie Meteors,4,1984-85,41,13,114,17,0,ON-Jr.B
17,Welland Cougars,8,1985-86,28,25,123,18,0,ON-Jr.B
1,Peterborough Petes,1,1985-86,7,2,2,18,0,OHL
11,Peterborough Petes,14,1986-87,61,25,61,19,0,OHL
33,Peterborough Petes,28,1987-88,66,61,132,20,0,OHL
21,Carolina Thunderbirds,27,1988-89,40,48,177,21,0,ECHL
0,Flint Spirits,0,1988-89,1,0,2,21,0,IHL
7,Utica Devils,1,1989-90,27,8,67,22,0,AHL
27,Nashville Knights,24,1989-90,34,51,212,22,0,ECHL
16,Utica Devils,11,1990-91,72,27,359,23,0,AHL
11,Utica Devils,9,1991-92,62,20,233,24,0,AHL
19,Providence Bruins,18,1992-93,72,37,302,25,0,AHL
1,Michigan K-Wings,1,1995-96,12,2,74,28,0,IHL
5,Houston Aeros,9,1998-99,38,14,201,31,10,IHL
2,Lowell Lock Monsters,2,1999-00,13,4,65,32,-5,AHL
2,Orlando Solar Bears,4,1999-00,19,6,85,32,-1,IHL
1,London Knights,0,2000-01,1,1,8,33,0,BH-Cup
1,London Knights,1,2000-01,1,2,4,33,0,Britain
