age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,42.9,3,1,2,NHL,6,0,1983-84,1,7,3,,0,2,,CGY,4
22,,0.0,0,0,-4,NHL,4,0,1984-85,0,8,0,,0,0,,CGY,0
23,,0.0,0,2,1,NHL,9,0,1985-86,0,22,0,,0,2,,CGY,2
24,,6.7,1,1,-1,NHL,6,0,1986-87,0,15,1,,0,6,,CGY,2
25,,16.7,1,4,1,NHL,6,0,1987-88,1,12,2,,1,2,,HAR,6
26,,8.3,1,2,-4,NHL,4,0,1988-89,0,12,1,,0,2,,NYR,3
27,,16.7,1,1,-5,NHL,10,0,1989-90,0,12,2,,1,0,,NYR,3
28,,22.2,1,2,2,NHL,7,0,1990-91,0,9,2,,1,0,,CGY,4
