pim,team,assists,plus_minus,points,league,games_played,year,age,goals
88,Cornwall Royals,30,0,40,QMJHL,71,1974-75,17,10
40,Cornwall Royals,8,0,13,QMJHL,17,1975-76,18,5
47,Peterborough Petes,8,0,9,OMJHL,43,1975-76,18,1
81,Hull Olympiques,33,0,48,QMJHL,68,1976-77,19,15
4,Hampton Gulls,0,0,0,AHL,8,1977-78,20,0
2,Phoenix Roadrunners,0,0,0,CHL,6,1977-78,20,0
89,Toledo Goaldiggers,20,0,27,IHL,44,1977-78,20,7
11,Toledo Goaldiggers,0,0,0,IHL,3,1978-79,21,0
100,Los Angeles Blades,5,0,11,PHL,19,1978-79,21,6
