assists,year,games_played,points,goals,team,age,pim,plus_minus,league
29,1982-83,45,54,25,Laval-Laurentides,16,48,0,QAAA
43,1983-84,38,81,38,Laval-Laurentides,17,72,0,QAAA
34,1984-85,66,63,29,Trois-Rivieres Draveurs,18,79,0,QMJHL
69,1985-86,71,118,49,Trois-Rivieres Draveurs,19,105,0,QMJHL
61,1986-87,68,100,39,2 Teams,20,89,0,QMJHL
52,1986-87,52,84,32,Trois-Rivieres Draveurs,20,77,0,QMJHL
9,1986-87,16,16,7,Longueuil Chevaliers,20,12,0,QMJHL
36,1987-88,75,70,34,Sherbrooke Canadiens,21,117,0,AHL
27,1988-89,70,44,17,Sherbrooke Canadiens,22,104,0,AHL
26,1989-90,65,47,21,Sherbrooke Canadiens,23,72,0,AHL
0,1990-91,1,0,0,Montreal Canadiens,24,2,0,Fr-Tour
1,1990-91,2,1,0,Fredericton Canadiens,24,6,0,AHL
42,1990-91,71,57,15,Indianapolis Ice,24,110,0,IHL
7,1991-92,36,11,4,Indianapolis Ice,25,52,0,IHL
14,1992-93,29,36,22,Lausanne HC,26,56,0,Swiss-2
15,1993-94,25,38,23,Lausanne HC,27,38,0,Swiss-2
30,1994-95,36,49,19,Lausanne HC,28,52,0,Swiss-2
11,1995-96,33,16,5,Lausanne HC,29,68,0,Swiss
22,1996-97,41,45,23,HC Geneve-Servette,30,114,0,Swiss-2
13,1997-98,44,21,8,Berlin Capitals,31,24,0,Germany
