assists,year,games_played,points,goals,team,age,pim,plus_minus,league
12,1982-83,14,18,6,Laval-Laurentides,16,22,0,QAAA
2,1983-84,6,6,4,Laval-Laurentides,17,16,0,QAAA
6,1984-85,7,10,4,Trois-Rivieres Draveurs,18,6,0,QMJHL
4,1985-86,4,6,2,Trois-Rivieres Draveurs,19,4,0,QMJHL
10,1986-87,19,18,8,Longueuil Chevaliers,20,18,0,QMJHL
1,1986-87,5,1,0,Longueuil Chevaliers,20,4,0,M-Cup
1,1987-88,5,2,1,Sherbrooke Canadiens,21,8,0,AHL
7,1988-89,6,9,2,Sherbrooke Canadiens,22,21,0,AHL
13,1989-90,12,17,4,Sherbrooke Canadiens,23,28,0,AHL
1,1990-91,7,3,2,Indianapolis Ice,24,8,0,IHL
4,1992-93,4,5,1,Lausanne HC,26,8,0,Swiss-2
5,1993-94,13,13,8,Lausanne HC,27,30,0,Swiss-2
9,1994-95,11,13,4,Lausanne HC,28,14,0,Swiss-2
3,1996-97,5,5,2,HC Geneve-Servette,30,6,0,Swiss-2
