won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,1,ATF,20,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1978-79,0,0.00,0,0
,0,NHL,6,CGY,366,26,3,0,0,22,0,0,0,0,3,0,0,0,0,0,1980-81,0,3.61,0,0
,0,NHL,7,CGY,327,28,3,0,0,27,0,0,0,0,3,0,0,0,0,0,1982-83,0,4.95,0,0
,0,NHL,8,CGY,448,29,4,107,0,32,0,-2.22,0,0,4,0,0,0,0,.890,1983-84,290,4.29,0,258
,0,NHL,4,CGY,248,30,3,99,0,15,0,0.12,0,1,1,0,0,0,0,.883,1984-85,128,3.63,0,113
,0,NHL,3,CGY,109,31,1,0,1,7,0,0,0,0,0,1,0,0,0,.854,1985-86,48,3.85,0,41
,0,NHL,2,CGY,101,32,1,0,1,6,0,0,0,0,0,1,0,0,0,.872,1986-87,47,3.56,0,41
,0,NHL,17,BOS,1027,33,6,80,1,45,0,11.26,0,0,11,1,0,0,0,.895,1987-88,430,0,2,385
,0,NHL,4,BOS,252,34,3,134,0,16,0,-4.07,0,0,1,0,0,0,0,.857,1988-89,112,3.81,2,96
,0,NHL,3,BOS,135,35,1,0,0,13,0,0,0,0,0,0,0,0,0,.772,1989-90,57,5.78,0,44
,0,NHL,2,BOS,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1990-91,18,0.00,0,18
,0,NHL,2,BOS,54,37,0,0,0,3,0,0,0,0,0,0,0,0,0,.870,1991-92,23,3.33,0,20
