assists,team,goals,year,games_played,points,pim,age,plus_minus,league
12,Niagara Falls Canucks Mn Mdgt,6,2010-11,43,18,111,16,0,SCTAMM
3,Guelph Storm,1,2011-12,34,4,22,17,1,OHL
12,Guelph Storm,3,2012-13,67,15,59,18,14,OHL
13,Guelph Storm,3,2013-14,67,16,69,19,34,OHL
0,Guelph Storm,0,2013-14,4,0,4,19,2,M-Cup
0,OHL All-Stars,0,2014-15,1,0,15,20,-1,Jr Super Ser
16,Guelph Storm,4,2014-15,28,20,40,20,10,OHL
10,Barrie Colts,1,2014-15,29,11,22,20,0,OHL
2,Evansville IceMen,0,2015-16,4,2,2,21,2,ECHL
4,Binghamton Senators,2,2015-16,47,6,34,21,-9,AHL
25,Binghamton Senators,2,2016-17,63,27,81,22,0,AHL
