age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,10.5,2,3,-2,NHL,10,0,1979-80,0,19,2,,0,7,,BOS,5
24,,11.1,3,1,0,NHL,17,0,1982-83,0,27,3,,0,18,,BOS,4
25,,0.0,0,0,0,NHL,1,0,1983-84,0,2,0,,0,0,,BOS,0
27,,23.5,3,4,6,NHL,10,0,1985-86,0,17,4,,1,11,,EDM,8
28,SC,2.9,1,9,1,NHL,21,0,1986-87,0,35,1,,0,16,,EDM,10
29,SC,0.0,0,1,0,NHL,19,0,1987-88,0,12,0,,0,31,,EDM,1
30,,0.0,0,1,1,NHL,7,0,1988-89,0,10,0,,0,8,,EDM,1
31,SC,9.5,2,6,6,NHL,0,0,1989-90,0,21,2,,0,29,,EDM,8
32,,12.5,3,3,-3,NHL,18,0,1990-91,1,24,3,,0,20,,EDM,6
33,,11.1,2,0,4,NHL,16,1,1991-92,1,27,3,,0,28,,EDM,3
35,SC,6.7,1,4,0,NHL,23,0,1993-94,0,15,1,,0,22,,NYR,5
36,,7.7,1,4,-3,NHL,15,0,1994-95,0,13,1,,0,20,,PHI,5
37,,0.0,0,2,0,NHL,13,0,1995-96,0,11,0,,0,6,,STL,2
38,,0,0,0,-1,NHL,1,0,1996-97,0,0,0,,0,2,,STL,0
