average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,23,0,2,-1,2,0,0,0,0,1978-79,NYR,0,0,[],0.0,,1
,10,2,0,NHL,24,6,20,-3,37,4,0,0,0,1979-80,NYR,4,6,[],10.8,,45
,1,0,0,NHL,25,1,0,0,0,0,0,0,0,1980-81,NYR,0,1,[],0,,3
,3,0,0,NHL,26,3,10,-5,6,0,0,0,0,1981-82,NYR,0,3,[],0.0,,13
,15,1,1,NHL,27,7,34,-8,62,3,0,0,4,1982-83,STL,4,11,[],6.5,,61
,15,0,0,NHL,28,13,65,22,59,1,1,0,0,1983-84,STL,2,13,[],3.4,,62
,26,0,0,NHL,29,19,62,27,102,3,1,1,2,1984-85,STL,4,22,[],3.9,,79
,10,0,0,NHL,30,8,53,13,50,2,0,0,0,1985-86,HAR,2,8,[],4.0,,62
,22,1,0,NHL,31,12,46,-19,78,6,0,1,3,1986-87,TOT,6,16,[],7.7,,76
,1,0,0,NHL,31,0,0,-5,3,1,0,0,0,1986-87,HAR,1,0,[],33.3,,4
,21,1,0,NHL,31,12,46,-14,75,5,0,1,3,1986-87,STL,5,16,[],6.7,,72
,19,1,0,NHL,32,13,76,6,88,6,0,0,0,1987-88,STL,6,13,[],6.8,,78
,0,0,0,NHL,33,0,14,4,10,0,0,0,0,1988-89,STL,0,0,[],0.0,,22
