shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1972-73,32,0,,0,0,0,11,0,21,TOT,12,27,0,WHA,0,,0,33,[],1
0,1972-73,21,0,,0,0,0,4,0,14,NEW,4,27,0,WHA,0,,59,18,[],0
0,1972-73,11,0,,0,0,0,7,0,7,LAS,8,27,0,WHA,0,,19,15,[],1
0,1973-74,0,0,,0,0,0,0,0,1,LAS,0,28,0,WHA,0,,8,1,[],0
