shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
15.6,1988-89,20,13,,0,45,3,6,-12,16,CHI,7,21,0,NHL,1,,41,23,[],0
17.6,1989-90,56,12,,0,51,0,9,-3,12,CHI,9,22,3,NHL,0,,49,21,[],0
13.2,1990-91,62,8,,1,53,0,7,5,9,CHI,7,23,1,NHL,0,,55,16,[],0
14.4,1991-92,92,14,,0,97,1,11,-11,15,CHI,14,24,2,NHL,1,,76,29,[],2
2.9,1992-93,46,5,,1,35,1,1,-7,7,TOT,1,25,0,NHL,0,,41,8,[],0
3.0,1992-93,44,4,,1,33,1,1,-6,6,CHI,1,25,0,NHL,0,,36,7,[],0
0.0,1992-93,2,1,,0,2,0,0,-1,1,EDM,0,25,0,NHL,0,,5,1,[],0
8.3,1993-94,47,7,,0,48,0,4,-5,7,NYR,4,26,1,NHL,0,,48,11,[],0
6.1,1994-95,34,9,,0,33,0,2,-1,9,PIT,2,27,1,NHL,0,,40,11,[],0
8.5,1995-96,55,11,,0,59,1,5,2,12,TOT,5,28,0,NHL,0,,59,17,[],0
7.4,1995-96,29,0,,0,27,0,2,-5,0,TOR,2,28,0,NHL,0,,27,2,[],0
9.4,1995-96,26,11,,0,32,1,3,7,12,STL,3,28,0,NHL,0,,32,15,[],0
0.0,1996-97,2,0,,0,9,0,0,-4,0,PHX,0,29,0,NHL,0,,7,0,[],0
