even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,MTL,1,8,23,0,,NHL,0,6,,1962-63,5,16.7,,0,1,-2
0,0,MTL,0,6,24,0,,NHL,0,6,,1963-64,7,0.0,,0,0,-2
0,0,MTL,0,19,25,0,,NHL,0,5,,1964-65,13,0.0,SC,0,0,-4
0,3,MTL,2,18,26,0,,NHL,0,13,,1965-66,10,15.4,SC,0,5,0
0,1,MTL,0,15,27,0,,NHL,0,4,,1966-67,10,0.0,,0,1,6
0,1,MTL,0,8,28,0,,NHL,0,13,,1967-68,13,0.0,SC,0,1,7
0,0,MTL,0,8,29,0,,NHL,0,4,,1968-69,11,0.0,SC,0,0,1
0,6,MTL,0,28,31,0,,NHL,0,14,,1970-71,0,0.0,SC,0,6,5
1,1,MTL,1,6,32,0,,NHL,0,4,,1971-72,5,25.0,,0,2,1
0,0,LAK,0,16,34,0,,NHL,0,7,,1973-74,5,0.0,,0,0,-3
0,0,LAK,0,2,35,0,,NHL,0,3,,1974-75,3,0.0,,0,0,-1
0,1,DET,0,4,38,0,,NHL,0,2,,1977-78,7,0.0,,0,1,-6
0,0,STL,0,2,40,0,,NHL,0,2,,1979-80,3,0.0,,0,0,0
