shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,4,0,1498,25,0,1981-82,0,17,3.40,QAAA,0,85,0,0,4,0,0,15,0,0,0,0,Lac St-Louis Lions
0,0,5,0,1677,28,0,1982-83,0,15,5.33,QAAA,0,149,0,0,8,0,0,16,0,0,0,0,Lac St-Louis Lions
0,0,0,0,1205,20,0,1983-84,0,8,4.08,ECAC,0,82,0,0,12,0,0,17,0,0,0,0,University of Vermont
0,0,0,0,1316,24,0,1984-85,0,5,4.10,ECAC,0,90,0,0,17,0,0,18,0,0,0,0,University of Vermont
0,0,1,0,1697,29,0,1985-86,0,15,3.08,ECAC,0,87,0,0,12,0,0,19,0,1,0,0,University of Vermont
0,0,0,0,1662,29,0,1986-87,0,16,3.47,ECAC,0,96,0,0,13,0,0,20,0,2,0,0,University of Vermont
0,0,9,0,1619,28,0,1987-88,0,16,3.22,Finland,0,87,0,0,3,0,0,21,0,0,0,0,Tappara Tampere
0,0,5,0,2962,54,0,1988-89,0,27,3.46,AHL,0,171,0,0,17,0,0,22,0,2,0,0,Moncton Hawks
0,0,3,0,2844,51,0,1989-90,0,20,3.52,AHL,0,167,0,0,24,0,0,23,0,1,0,0,Moncton Hawks
0,0,2,0,1779,30,0,1990-91,0,15,3.20,AHL,0,95,0,0,13,0,0,24,0,1,0,0,Moncton Hawks
0,0,2,0,1148,20,0,1990-91,0,11,3.55,IHL,0,68,0,0,6,0,0,24,0,0,0,0,2 Teams
0,0,1,0,564,10,0,1990-91,0,5,3.40,IHL,0,32,0,0,3,0,0,24,0,0,0,0,Fort Wayne Komets
0,0,1,0,584,10,0,1990-91,0,6,3.70,IHL,0,36,0,0,3,0,0,24,0,0,0,0,Peoria Rivermen
0,0,2,0,531,9,0,1991-92,0,4,3.16,AHL,0,28,0,0,3,0,0,25,0,0,0,0,Rochester Americans
0,0,0,0,303,5,0,1992-93,0,3,4.36,AHL,0,22,0,0,2,0,0,26,0,0,0,0,Rochester Americans
0,0,3,0,1933,35,0,1993-94,0,7,4.35,IHL,0,140,0,0,23,0,0,27,0,0,0,0,Salt Lake Golden Eagles
1578,0,6,1391,3063,59,0,1994-95,0,25,3.66,IHL,0,187,0,0,20,0,.881,28,0,1,0,0,Minnesota Moose
937,0,3,836,1793,31,0,1995-96,0,14,3.38,IHL,0,101,0,0,12,0,.892,29,0,1,0,0,Milwaukee Admirals
957,0,3,870,2267,39,0,1996-97,0,28,2.30,IHL,0,87,0,0,7,0,.909,30,0,2,0,0,Long Beach Ice Dogs
1414,0,6,1263,2915,52,0,1997-98,0,19,3.11,IHL,0,151,0,0,24,0,.893,31,0,2,0,0,2 Teams
1159,0,4,1028,2418,43,0,1997-98,0,15,3.25,IHL,0,131,0,0,22,0,.887,31,0,2,0,0,Quebec Rafales
255,0,2,235,497,9,0,1997-98,0,4,2.41,IHL,0,20,0,0,2,0,.922,31,0,0,0,0,Cleveland Lumberjacks
788,0,3,728,1568,26,0,1998-99,0,14,2.30,AHL,0,60,0,0,9,0,.924,32,2,0,0,0,Rochester Americans
0,0,7,0,3143,52,0,1999-00,0,27,2.21,Finland,0,116,0,0,17,0,0,33,0,6,0,0,Lukko Rauma
0,0,6,0,2033,35,0,2000-01,0,13,2.51,Finland,0,85,0,0,15,0,0,34,32,4,0,0,Blues Espoo
0,0,8,0,3025,50,0,2001-02,0,29,2.02,Finland,0,102,0,0,13,0,0,35,14,9,0,0,Tappara Tampere
0,0,2,0,374,7,0,2002-03,0,2,3.85,Finland,0,24,0,0,2,0,0,36,0,0,0,0,HIFK Helsinki
116,0,0,103,250,5,0,2002-03,0,3,3.12,UHL,0,13,0,0,1,0,.888,36,0,0,0,0,Adirondack IceHawks
511,0,2,461,1108,21,0,2002-03,0,9,2.71,ECHL,0,50,0,0,6,0,.902,36,4,2,0,0,2 Teams
113,0,0,106,244,4,0,2002-03,0,3,1.72,ECHL,0,7,0,0,1,0,.938,36,0,1,0,0,Toledo Storm
398,0,2,355,864,17,0,2002-03,0,6,2.99,ECHL,0,43,0,0,5,0,.892,36,4,1,0,0,Augusta Lynx
22,0,0,17,60,1,0,2003-04,0,1,5.00,UHL,0,5,0,0,0,0,.773,37,0,0,0,0,Adirondack IceHawks
