year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1992-93,21,0,2,2,0,AHL,5,Utica Devils,2
1994-95,23,3,4,3,0,AHL,14,Albany River Rats,6
1996-97,25,0,6,1,0,IHL,7,Utah Grizzlies,1
1997-98,26,0,6,2,0,IHL,4,Utah Grizzlies,2
1998-99,27,4,4,2,0,IHL,8,Long Beach Ice Dogs,6
2004-05,33,0,22,4,0,CzRep,12,HC Bili Tygri Liberec,4
2008-09,37,0,6,0,0,CzRep,3,HC Bili Tygri Liberec,0
2009-10,38,0,8,3,0,CzRep,6,HC Plzen 1929,3
2010-11,39,0,4,1,0,CzRep,4,HC Plzen 1929,1
2011-12,40,0,6,2,0,CzRep,10,HC Plzen 1929,2
