shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1962-63,0,0,,0,0,0,0,0,1,DET,0,20,0,NHL,0,,1,1,[],0
0,1963-64,7,0,,0,0,0,0,0,0,DET,0,21,0,NHL,0,,3,0,[],0
4.6,1967-68,60,6,,0,87,0,3,-27,6,OAK,4,25,1,NHL,0,,54,10,[],1
4.1,1968-69,91,13,,0,74,0,3,6,13,DET,3,26,1,NHL,0,,73,16,[],0
1.6,1969-70,99,13,,0,126,6,2,14,19,DET,2,27,0,NHL,0,,72,21,[],0
2.4,1970-71,65,6,,0,84,2,0,-29,8,DET,2,28,0,NHL,1,,42,10,[],1
1.8,1971-72,80,7,,1,56,2,1,-15,10,DET,1,29,0,NHL,0,,61,11,[],0
4.6,1972-73,25,14,,0,109,0,3,-3,14,TOT,5,30,0,NHL,0,,70,19,[],2
5.6,1972-73,8,4,,0,36,0,1,-5,4,ATF,2,30,0,NHL,0,,24,6,[],1
4.1,1972-73,17,10,,0,73,0,2,2,10,NYR,3,30,0,NHL,0,,46,13,[],1
2.7,1973-74,25,11,,0,75,1,2,-2,12,NYR,2,31,0,NHL,0,,63,14,[],0
2.6,1974-75,22,5,,0,38,2,1,0,7,NYR,1,32,0,NHL,0,,34,8,[],0
0.0,1975-76,0,1,,0,1,0,0,-1,1,NYR,0,33,0,NHL,0,,3,1,[],0
