average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,12,1,0,NHL,19,6,17,-30,90,2,1,0,3,1984-85,HAR,3,9,[],3.3,,67
,0,0,0,NHL,20,0,0,1,0,0,0,0,0,1985-86,HAR,0,0,[],0,,2
,10,0,0,NHL,21,7,20,11,100,2,0,1,0,1986-87,HAR,2,8,[],2.0,,67
,28,0,1,NHL,22,13,30,-8,142,6,0,3,5,1987-88,HAR,7,21,[],4.9,,67
,17,0,0,NHL,23,9,49,-7,130,7,1,0,0,1988-89,HAR,8,9,[],6.2,,78
,6,1,0,NHL,24,2,14,2,50,3,1,0,0,1989-90,HAR,4,2,[],8.0,,28
,19,0,0,NHL,25,6,17,-17,154,6,1,1,5,1990-91,HAR,7,12,[],4.5,,73
,40,2,0,NHL,26,14,31,7,151,5,6,1,14,1991-92,WSH,11,29,[],7.3,,78
,50,3,2,NHL,27,19,34,28,206,11,8,1,9,1992-93,WSH,21,29,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-12'}]",10.2,,77
,51,2,2,NHL,28,24,66,30,212,11,3,0,11,1993-94,WSH,16,35,"[{'link': '/awards/voting-1994.html#AS', 'name': 'AS-11'}]",7.5,,84
,19,2,0,NHL,29,5,53,2,124,4,1,3,6,1994-95,WSH,5,14,[],4.0,,47
,38,2,0,NHL,30,19,40,5,212,2,3,2,12,1995-96,WSH,5,33,[],2.4,,81
,24,0,0,NHL,31,11,28,11,131,4,2,0,7,1996-97,WSH,6,18,[],4.6,,57
,25,1,0,NHL,32,17,42,-3,103,3,1,1,3,1997-98,TOT,4,21,[],3.9,,71
,16,0,0,NHL,32,13,36,-5,83,1,0,1,1,1997-98,WSH,1,15,[],1.2,,59
,9,1,0,NHL,32,4,6,2,20,2,1,0,2,1997-98,TOR,3,6,[],15.0,,12
21:04,29,1,0,NHL,33,15,28,22,119,5,0,0,9,1998-99,TOR,5,24,[],4.2,1664,79
21:23,35,2,0,NHL,34,14,28,3,128,3,5,0,13,1999-00,TOT,8,27,[],6.3,1625,76
21:40,1,0,0,NHL,34,0,0,1,3,0,0,0,1,1999-00,TOR,0,1,[],0.0,65,3
23:22,24,2,0,NHL,34,11,14,-4,78,1,5,0,7,1999-00,CHI,6,18,[],7.7,1051,45
18:10,10,0,0,NHL,34,3,14,6,47,2,0,0,5,1999-00,DAL,2,8,[],4.3,509,28
17:47,18,1,1,NHL,35,5,18,-3,86,5,1,0,6,2000-01,WSH,7,11,[],8.1,1210,68
19:44,14,2,0,NHL,36,9,26,-15,101,2,1,0,2,2001-02,WSH,3,11,[],3.0,1381,70
4:12,0,0,0,NHL,37,0,4,0,0,0,0,0,0,2002-03,WSH,0,0,[],0,4,1
