assists,year,games_played,points,goals,team,age,pim,plus_minus,league
10,2010-11,41,15,5,Cambridge Winter Hawks,16,88,0,GOJHL
16,2011-12,64,19,3,Owen Sound Attack,17,77,-2,OHL
12,2012-13,38,14,2,Owen Sound Attack,18,39,1,OHL
6,2012-13,28,8,2,Barrie Colts,18,42,-1,OHL
25,2013-14,63,36,11,Barrie Colts,19,121,22,OHL
14,2014-15,55,20,6,Syracuse Crunch,20,114,-8,AHL
10,2015-16,67,11,1,Syracuse Crunch,21,120,-9,AHL
9,2016-17,35,13,4,Syracuse Crunch,22,105,10,AHL
