average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,91,5,0,NHL,21,23,6,31,235,28,0,0,15,1977-78,NYI,53,38,"[{'link': '/awards/nhl_all_star.html#1978', 'name': None}, {'link': '/awards/voting-1978.html#byng', 'name': 'Byng-4'}, {'link': '/awards/calder.html#1978', 'name': None}]",22.6,,73
,126,9,0,NHL,22,34,25,63,279,0,0,0,23,1978-79,NYI,0,57,"[{'link': '/awards/nhl_all_star.html#1979', 'name': None}, {'link': '/awards/voting-1979.html#byng', 'name': 'Byng-4'}, {'link': '/awards/voting-1979.html#hart', 'name': 'Hart-7'}]",24.7,,0
,92,8,0,NHL,23,26,12,28,244,35,16,0,15,1979-80,NYI,51,41,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1980.html#byng', 'name': 'Byng-5'}]",20.9,,75
,119,0,2,NHL,24,36,32,37,315,38,0,0,15,1980-81,NYI,0,51,"[{'link': '/awards/nhl_all_star.html#1981', 'name': None}, {'link': '/awards/voting-1981.html#byng', 'name': 'Byng-5'}, {'link': '/awards/voting-1981.html#hart', 'name': 'Hart-4'}]",21.6,,79
,147,10,0,NHL,25,54,22,69,301,47,17,0,29,1981-82,NYI,64,83,"[{'link': '/awards/nhl_all_star.html#1982', 'name': None}, {'link': '/awards/voting-1982.html#byng', 'name': 'Byng-2'}, {'link': '/awards/voting-1982.html#hart', 'name': 'Hart-3'}, {'link': '/awards/smythe.html#1982', 'name': None}]",21.3,,80
,118,8,0,NHL,26,37,20,27,272,41,19,0,21,1982-83,NYI,60,58,"[{'link': '/awards/nhl_all_star.html#1983', 'name': None}, {'link': '/awards/byng.html#1983', 'name': None}, {'link': '/awards/voting-1983.html#hart', 'name': 'Hart-10'}, {'link': '/awards/voting-1983.html#selke', 'name': 'Selke-24'}]",22.1,,79
,118,11,0,NHL,27,45,8,66,246,45,6,0,22,1983-84,NYI,51,67,"[{'link': '/awards/nhl_all_star.html#1984', 'name': None}, {'link': '/awards/byng.html#1984', 'name': None}, {'link': '/awards/voting-1984.html#hart', 'name': 'Hart-6'}]",20.7,,67
,117,7,4,NHL,28,46,38,37,285,40,14,0,13,1984-85,NYI,58,59,"[{'link': '/awards/nhl_all_star.html#1985', 'name': None}, {'link': '/awards/voting-1985.html#byng', 'name': 'Byng-4'}, {'link': '/awards/voting-1985.html#hart', 'name': 'Hart-11'}]",20.4,,76
,123,0,1,NHL,29,43,14,30,302,39,21,1,18,1985-86,NYI,61,62,"[{'link': '/awards/nhl_all_star.html#1986', 'name': None}, {'link': '/awards/byng.html#1986', 'name': None}, {'link': '/awards/voting-1986.html#hart', 'name': 'Hart-6'}]",20.2,,80
,75,5,1,NHL,30,14,33,-7,226,29,8,0,23,1986-87,NYI,38,37,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1987.html#byng', 'name': 'Byng-7'}]",16.8,,63
