goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,2007-08,3,,77,0,0,0,24,27,0,MTL,0,0,1,2.34,22,NHL,.889,.000,2,0,0,1
0,0,0,2008-09,0,,20,0,0,0,5,5,0,MTL,0,0,0,0.00,23,NHL,1.000,0,1,0,0,0
83,8.68,4,2009-10,43,,1013,0,0,12,519,562,0,MTL,0,0,18,2.55,24,NHL,.923,.667,18,0,9,0
0,0,0,2011-12,3,,104,0,0,1,43,46,0,STL,0,0,2,1.73,26,NHL,.935,.500,2,0,1,1
95,0.91,0,2014-15,16,,418,0,2,5,199,215,0,NYI,0,0,7,2.30,29,NHL,.926,.714,7,0,3,4
