goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
99,2.9,0.44,0,2006-07,[],44,912,0,2,0,425,469,1,MTL,2,0,0,2.89,21,NHL,.906,0,16,1,10,6
0,1.4,0,0,2007-08,[],10,285,1,0,2,141,151,0,MTL,1,0,4,2.11,22,NHL,.934,.500,6,0,2,1
93,7.2,6.56,2,2008-09,[],92,1931,1,0,18,985,1077,0,MTL,1,0,33,2.86,23,NHL,.915,.545,34,0,18,14
85,10.4,17.98,5,2009-10,"[{'link': '/awards/voting-2010.html#AS', 'name': 'AS-13'}, {'link': '/awards/voting-2010.html#vezina', 'name': 'Vezina-10'}]",105,2630,5,0,26,1281,1386,0,MTL,5,0,43,2.40,24,NHL,.924,.605,45,0,26,13
103,8.6,-3.76,7,2010-11,[],136,3294,7,6,32,1382,1518,0,STL,7,0,57,2.48,25,NHL,.910,.561,57,0,27,21
86,9.1,14.71,5,2011-12,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-7'}, {'link': '/awards/jennings.html#2012', 'name': None}, {'link': '/awards/voting-2012.html#vezina', 'name': 'Vezina-6'}]",90,2747,7,0,29,1121,1211,0,STL,6,0,46,1.97,26,NHL,.926,.630,46,0,26,12
115,1.3,-3.81,4,2012-13,[],29,813,1,0,7,257,286,1,STL,3,0,15,2.14,27,NHL,.899,.467,16,1,6,5
92,9.5,9.34,6,2013-14,[],110,2939,7,0,30,1275,1385,1,TOT,5,0,50,2.25,28,NHL,.921,.600,52,1,29,13
96,6.5,3.34,6,2013-14,[],83,2238,4,0,22,919,1002,1,STL,4,0,38,2.23,28,NHL,.917,.579,40,1,24,9
82,3.0,6.00,0,2013-14,[],27,701,3,0,8,356,383,0,WSH,1,0,12,2.31,28,NHL,.930,.667,12,0,5,4
101,9.9,-1.20,7,2014-15,[],144,3550,4,2,33,1529,1673,1,NYI,6,0,59,2.43,29,NHL,.914,.559,59,1,38,17
95,6.3,3.78,6,2015-16,[],80,2091,4,0,21,904,984,1,NYI,3,0,36,2.30,30,NHL,.919,.583,36,1,18,13
98,5.4,1.59,3,2016-17,[],75,1605,5,0,14,810,885,1,NYI,2,0,26,2.80,31,NHL,.915,.538,28,1,12,9
