assists,year,games_played,points,goals,team,age,pim,plus_minus,league
6,1941-42,12,15,9,Oshawa Generals,19,4,0,OHA-Jr.
6,1941-42,11,12,6,Oshawa Generals,19,6,0,M-Cup
3,1944-45,4,6,3,Toronto Army Shamrocks,22,2,0,TIHL
4,1944-45,3,7,3,Toronto Army Daggers,22,2,0,TNDHL
13,1945-46,10,19,6,Toronto Maher Jewels,23,4,0,TIHL
1,1947-48,4,1,0,New Haven Ramblers,25,9,0,AHL
0,1949-50,1,0,0,Providence Reds,27,0,0,AHL
0,1951-52,5,1,1,Cleveland Barons,29,4,0,AHL
1,1955-56,9,3,2,Providence Reds,33,0,0,AHL
0,1956-57,5,0,0,Providence Reds,34,4,0,AHL
0,1957-58,1,0,0,Providence Reds,35,0,0,AHL
0,1960-61,2,0,0,Philadelphia Ramblers,38,0,0,EHL
