assists,team,goals,year,games_played,points,pim,age,plus_minus,league
71,Regina Pat Canadians,93,1980-81,65,164,94,16,0,SMHL
3,Regina Blues,5,1980-81,13,8,2,16,0,SJHL
15,Regina Pats,14,1981-82,48,29,43,17,0,WHL
57,Regina Pats,37,1982-83,72,94,78,18,0,WHL
79,Regina Pats,63,1983-84,69,142,42,19,0,WHL
14,Fredericton Express,21,1985-86,45,35,28,21,0,AHL
20,Fredericton Express,21,1986-87,36,41,23,22,0,AHL
41,Maine Mariners,33,1987-88,71,74,58,23,0,AHL
21,HC Asiago,25,1988-89,26,46,60,24,0,Italy
6,2 Teams,5,1988-89,17,11,21,24,0,AHL
1,Maine Mariners,0,1988-89,8,1,7,24,0,AHL
5,Newmarket Saints,5,1988-89,9,10,14,24,0,AHL
23,New Haven Nighthawks,14,1989-90,51,37,10,25,0,AHL
2,Canada,4,1989-90,4,6,0,25,0,Nat-Tm
16,San Diego Gulls,13,1990-91,44,29,28,26,0,IHL
6,Mannheimer ERC,4,1991-92,15,10,4,27,0,Germany
16,Furuset IF Oslo,13,1991-92,29,29,22,27,0,Norway
45,Tulsa Oilers,35,1992-93,58,80,64,28,0,CHL
26,Tulsa Oilers,33,1993-94,64,59,95,29,0,CHL
39,Tulsa Oilers,29,1994-95,58,68,33,30,0,CHL
35,Tulsa Oilers,27,1995-96,63,62,52,31,0,CHL
