assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1994-95,11,8,6,Peterborough Petes,17,6,0,OHL
13,1995-96,24,27,14,Peterborough Petes,18,16,0,OHL
4,1996-97,4,6,2,Peterborough Petes,19,0,0,OHL
2,1998-99,6,2,0,Kentucky Thoroughblades,21,0,0,AHL
1,1999-00,4,1,0,Louisville Panthers,22,0,0,AHL
2,2000-01,5,2,0,Hartford Wolf Pack,23,0,0,AHL
2,2001-02,5,3,1,Charlotte Checkers,24,4,0,ECHL
