power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,10,9,0,NHL,1985-86,20,3,TOR,,6,8,2,0,32,,,9.4,2
1,13,7,0,NHL,1986-87,21,3,TOR,,4,11,1,0,31,,,9.7,2
0,6,3,0,NHL,1987-88,22,2,TOR,,1,0,-5,0,10,,,20.0,2
1,21,13,2,NHL,1988-89,23,8,MTL,,5,18,12,0,53,,,15.1,7
0,11,6,0,NHL,1989-90,24,5,MTL,,1,10,1,0,38,,,13.2,5
2,13,11,1,NHL,1990-91,25,8,MTL,,3,7,3,0,51,,,15.7,4
0,10,2,1,NHL,1991-92,26,1,MTL,,1,4,-2,0,14,,,7.1,1
0,9,9,0,NHL,1993-94,28,1,DAL,,8,0,-3,0,41,,,2.4,1
0,11,12,1,NHL,1994-95,29,4,VAN,,8,21,1,0,27,,,14.8,2
0,6,4,0,NHL,1995-96,30,1,VAN,,3,2,-4,0,8,,,12.5,1
1,15,7,0,NHL,1996-97,31,3,NYR,,4,0,1,0,27,,,11.1,2
0,4,0,0,NHL,1997-98,32,0,LAK,,0,2,-2,0,7,,,0.0,0
