pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,U.S. National Team Development Program,1,0,2,U-18,6,1999-00,17,1
119,U.S. National Team Development Program,21,0,33,USHL,58,1999-00,17,12
4,United States,1,4,2,WJ18-A,6,1999-00,17,1
168,Omaha Lancers,29,0,51,USHL,56,2000-01,18,22
42,University of Minnesota,13,0,23,WCHA,41,2001-02,19,10
4,United States,1,4,2,WJC-A,7,2001-02,19,1
78,University of Minnesota,29,0,41,WCHA,41,2002-03,20,12
83,University of Minnesota,25,0,36,WCHA,37,2003-04,21,11
2,United States,0,1,1,WC-A,8,2003-04,21,1
88,Utah Grizzlies,18,-29,20,AHL,60,2004-05,22,2
16,United States,3,0,3,WC-A,7,2006-07,24,0
16,United States,2,0,2,WC-A,5,2007-08,25,0
2,United States,2,3,3,WC-A,9,2008-09,26,1
