age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0.0,0,0,-2,NHL,9,0,1996-97,0,4,0,,0,6,,BUF,0
21,,10.0,1,3,-1,NHL,14,0,1997-98,0,10,1,,0,6,,BUF,4
22,,13.6,2,4,0,NHL,19,0,1998-99,0,22,3,256,1,6,,BUF,7
24,,5.3,1,3,-2,NHL,18,0,2000-01,0,19,1,272,0,2,,PIT,4
27,,3.6,1,2,-7,NHL,17,0,2003-04,0,28,1,267,0,4,,SJS,3
30,,0.0,0,2,-1,NHL,6,0,2006-07,0,3,0,81,0,14,,CGY,2
31,,16.7,1,0,0,NHL,7,0,2007-08,0,6,1,74,0,4,8,CGY,1
