shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
4.6,1978-79,114,13,,0,153,11,3,-25,24,DET,7,21,2,NHL,0,,68,31,"[{'link': '/awards/voting-1979.html#calder', 'name': 'Calder-9'}]",4
8.6,1979-80,164,17,,0,197,6,11,-26,23,DET,17,22,2,NHL,2,,76,40,[],4
7.2,1980-81,130,19,,0,207,15,12,-28,34,DET,15,23,0,NHL,0,,80,49,[],3
5.6,1981-82,98,21,,1,270,8,10,-16,30,DET,15,24,2,NHL,0,,74,45,[],5
5.8,1982-83,106,18,,1,241,10,11,-34,29,DET,14,25,1,NHL,0,,74,43,[],3
9.8,1983-84,60,9,,1,92,4,4,-14,14,NYR,9,26,1,NHL,1,,42,23,[],4
4.0,1984-85,55,7,,0,75,4,2,-20,11,NYR,3,27,0,NHL,0,,49,14,[],1
5.6,1985-86,85,7,,0,124,1,6,-11,8,NYR,7,28,2,NHL,0,,70,15,[],1
6.8,1986-87,68,14,,2,117,6,4,-13,22,NYR,8,29,0,NHL,1,,66,30,[],3
8.1,1987-88,70,11,,0,111,11,4,-16,22,TOT,9,30,0,NHL,0,,56,31,[],5
5.6,1987-88,14,2,,0,18,1,1,-4,3,NYR,1,30,0,NHL,0,,11,4,[],0
5.1,1987-88,40,5,,0,79,5,2,-10,10,VAN,4,30,0,NHL,0,,35,14,[],2
28.6,1987-88,16,4,,0,14,5,1,-2,9,PHI,4,30,0,NHL,0,,10,13,[],3
