assists,team,goals,year,games_played,points,pim,age,plus_minus,league
15,Halifax St. Mary\'s,13,1946-47,7,28,0,17,0,Exhib.
39,Halifax St. Mary\'s,16,1947-48,25,55,11,18,0,Exhib.
3,Halifax Crescents,1,1947-48,2,4,2,18,0,HCSHL
26,Montreal Jr. Royals,32,1948-49,40,58,17,19,0,QJHL
0,Montreal Royals,0,1948-49,1,0,0,19,0,QSHL
12,Cincinnati Mohawks,22,1949-50,53,34,2,20,0,AHL
1,Montreal Royals,1,1949-50,8,2,0,20,0,QSHL
8,Cincinnati Mohawks,15,1950-51,42,23,2,21,0,AHL
38,Indianapolis Capitols,23,1951-52,67,61,8,22,0,AHL
27,St. Louis Flyers,12,1952-53,58,39,4,23,0,AHL
26,Providence Reds,10,1953-54,60,36,10,24,0,AHL
27,Moncton Hawks,29,1954-55,66,56,10,25,0,ACSHL
40,Moncton Hawks,12,1955-56,70,52,31,26,0,ACSHL
2,New Haven Blades,0,1955-56,1,2,0,26,0,EHL
15,Campbellton Tigers,9,1956-57,27,24,6,27,0,NNBHL
9,Halifax Wolves,3,1958-59,28,12,0,29,0,NSSHL
6,Halifax Wolves,11,1959-60,28,17,9,30,0,NSSHL
17,Halifax Wolves,25,1960-61,28,42,2,31,0,NSSHL
20,Halifax Wolves,11,1961-62,25,31,2,32,0,NSSHL
