assists,team,goals,year,games_played,points,pim,age,plus_minus,league
12,Halifax St. Mary\'s,8,1946-47,7,20,2,17,0,M-Cup
8,Halifax St. Mary\'s,19,1947-48,8,27,0,18,0,M-Cup
4,Montreal Jr. Royals,11,1948-49,10,15,5,19,0,QJHL
11,Montreal Jr. Royals,12,1948-49,15,23,10,19,0,M-Cup
8,Moncton Hawks,7,1954-55,13,15,0,25,0,ACSHL
5,Moncton Hawks,11,1954-55,13,16,0,25,0,Al-Cup
2,Moncton Hawks,1,1955-56,8,3,2,26,0,ACSHL
4,Campbellton Tigers,10,1956-57,12,14,4,27,0,NNBHL
2,Halifax Wolves,3,1960-61,5,5,2,31,0,NSSHL
6,Halifax Wolves,6,1961-62,5,12,2,32,0,NSSHL
