shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
11.8,63,2010-11,27,17,1184,0,45,363,186,3,14,-9,20,EDM,22,45,40.0,19,4,NHL,0,37,18:13,48,65,42,42,"[{'link': '/awards/voting-2011.html#calder', 'name': 'Calder-9'}]",8
13.0,34,2011-12,36,18,1111,0,62,359,207,8,14,-3,26,EDM,27,35,40.4,20,7,NHL,0,34,18:13,44,61,23,53,[],13
10.4,24,2012-13,33,24,838,0,29,258,154,10,12,5,34,EDM,16,31,54.7,21,4,NHL,0,20,18:37,24,45,29,50,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-3'}]",4
10.8,44,2013-14,44,42,1501,1,100,427,250,10,20,-15,53,EDM,27,76,45.7,22,1,NHL,0,41,20:01,54,75,37,80,"[{'link': '/awards/voting-2014.html#AS', 'name': 'AS-4'}]",7
8.9,52,2014-15,40,21,1019,0,56,312,158,3,11,-1,24,EDM,14,35,46.4,23,0,NHL,0,37,19:13,67,53,45,38,[],3
9.1,25,2015-16,54,31,1575,0,73,474,286,8,22,-4,39,EDM,26,64,35.9,24,6,NHL,0,50,19:12,82,82,14,65,"[{'link': '/awards/voting-2016.html#AS', 'name': 'AS-8'}]",4
8.4,10,2016-17,32,25,1392,0,44,392,238,8,13,-9,33,NJD,20,43,44.4,25,4,NHL,0,31,19:20,59,72,8,53,[],7
