assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1926-27,5,4,4,Edith Cavell School,13,0,0,MSBL
1,1927-28,5,2,1,Victoria Street School,14,0,0,MSBL
0,1928-29,2,0,0,Moncton Aberdeens,15,0,0,High-NB
4,1929-30,6,12,8,Moncton Chalmers Club,16,2,0,SNBJL
4,1930-31,6,19,15,Moncton Athletics,17,0,0,MJHL
0,1930-31,3,1,1,Moncton Aberdeens,17,0,0,High-NB
4,1931-32,6,10,6,Moncton Wheelers,18,0,0,MJHL
3,1932-33,4,16,13,Moncton Hawks,19,0,0,MJHL
3,1932-33,7,14,11,Moncton Swift\'s,19,0,0,MCIHL
13,1933-34,11,33,20,Toronto Young Rangers,20,4,0,OHA-Jr.
1,1933-34,2,1,0,Toronto CCM,20,0,0,TMHL
9,1934-35,11,26,17,Toronto Lions,21,2,0,OHA-Jr.
6,1934-35,11,18,12,Toronto Dominions,21,2,0,OHA-Sr.
12,1935-36,40,34,22,Pittsburgh Yellowjackets,22,4,0,EAHL
3,1936-37,7,5,2,Syracuse Stars,23,2,0,IAHL
1,1943-44,1,2,1,Toronto Army Daggers,30,0,0,OHA-Sr.
1,1944-45,1,1,0,Dartmouth RCAF,31,0,0,NSDHL
4,1944-45,8,15,11,Valleyfield Braves,31,0,0,QPHL
8,1945-46,3,15,7,Halifax RCAF,32,4,0,NSDHL
8,1946-47,4,18,10,Charlottetown Legion,33,16,0,NSSHL
1,1947-48,2,1,0,North Sydney Victorias,34,0,0,NSSHL
7,1948-49,2,18,11,Maritime All-Stars,35,2,0,Exhib.
24,1949-50,49,72,48,Saint John Beavers,36,40,0,NBSHL
