shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1972-73,18,1,,0,2,0,0,-5,1,NYI,0,20,0,NHL,0,,8,1,[],0
7.1,1973-74,204,10,,0,84,1,6,-13,11,NYI,6,21,0,NHL,0,,0,17,[],0
14.3,1974-75,121,29,,0,126,1,17,32,30,NYI,18,22,3,NHL,0,,77,48,[],1
18.3,1975-76,197,12,,0,115,1,21,26,13,NYI,21,23,2,NHL,0,,0,34,[],0
14.3,1976-77,182,15,,0,91,0,12,14,15,NYI,13,24,4,NHL,0,,70,28,[],1
11.7,1977-78,146,12,,0,60,0,7,7,12,NYI,7,25,0,NHL,0,,61,19,[],0
19.8,1978-79,205,12,,0,81,0,16,6,12,NYI,16,26,2,NHL,0,,75,28,[],0
12.9,1979-80,219,11,,0,62,0,8,-3,11,NYI,8,27,1,NHL,0,,77,19,[],0
8.3,1980-81,174,15,,0,48,0,4,12,15,NYI,4,28,0,NHL,0,,70,19,[],0
16.2,1981-82,242,29,,0,111,3,17,-5,32,HAR,18,29,2,NHL,0,,80,50,[],1
3.3,1982-83,114,4,,0,30,0,1,-29,4,NJD,1,30,0,NHL,0,,38,5,[],0
0.0,1983-84,14,0,,0,5,0,0,-1,0,NJD,0,31,0,NHL,0,,6,0,[],0
