assists,year,games_played,points,goals,team,age,pim,plus_minus,league
6,1941-42,12,17,11,Montreal Concordias,17,2,0,MMJHL
9,1942-43,20,22,13,Montreal Concordias,18,13,0,MMJHL
4,1943-44,10,8,4,Montreal Concordias,19,14,0,MMJHL
1,1943-44,2,1,0,University of Montreal,19,0,0,QSHL
10,1944-45,11,20,10,2 Teams,20,7,0,QSHL
0,1944-45,2,0,0,Hull Volants,20,0,0,QSHL
10,1944-45,9,20,10,Montreal Army,20,7,0,QSHL
0,1945-46,1,0,0,Montreal Royals,21,0,0,QSHL
3,1946-47,26,12,9,New Haven Ramblers,22,14,0,AHL
15,1946-47,16,21,6,New York Rovers,22,15,0,EAHL
0,1946-47,1,0,0,Montreal Royals,22,0,0,QSHL
19,1947-48,65,38,19,New Haven Ramblers,23,59,0,AHL
23,1948-49,63,47,24,New Haven Ramblers,24,108,0,AHL
24,1949-50,65,44,20,New Haven Ramblers,25,42,0,AHL
31,1950-51,61,53,22,Cincinnati Mohawks,26,109,0,AHL
19,1951-52,39,36,17,2 Teams,27,57,0,AHL
16,1951-52,35,31,15,Cincinnati Mohawks,27,53,0,AHL
3,1951-52,4,5,2,Providence Reds,27,4,0,AHL
17,1952-53,57,38,21,Providence Reds,28,74,0,AHL
0,1953-54,6,1,1,Quebec Aces,29,2,0,QHL
5,1953-54,15,8,3,Providence Reds,29,15,0,AHL
25,1954-55,42,43,18,Shawinigan Cataracts,30,46,0,QHL
42,1955-56,59,66,24,Shawinigan Cataracts,31,63,0,QHL
33,1956-57,62,52,19,Shawinigan Cataracts,32,57,0,QHL
50,1957-58,64,89,39,Shawinigan Cataracts,33,68,0,QHL
23,1958-59,48,45,22,Montreal Royals,34,69,0,QHL
40,1959-60,69,70,30,Trois-Rivieres Lions,35,51,0,EPHL
52,1960-61,67,93,41,St. Paul Saints,36,52,0,IHL
56,1961-62,64,88,32,St. Paul Saints,37,49,0,IHL
