pim,team,assists,plus_minus,points,league,games_played,year,age,goals
12,Pincher Creek Panthers,34,0,47,AJHL,59,1977-78,16,13
0,Billings Bighorns,1,0,1,WCJHL,2,1977-78,16,0
35,Calgary Chinooks,30,0,47,AJHL,53,1978-79,17,17
0,Calgary Wranglers,1,0,3,WHL,7,1978-79,17,2
43,Calgary Wranglers,34,0,67,WHL,72,1979-80,18,33
73,Calgary Wranglers,52,0,88,WHL,70,1980-81,19,36
83,Wichita Wind,34,0,54,CHL,80,1981-82,20,20
35,Moncton Alpines,63,0,91,AHL,80,1982-83,21,28
99,Moncton Alpines,36,0,62,AHL,66,1983-84,22,26
63,Nova Scotia Oilers,43,0,79,AHL,79,1984-85,23,36
14,Schwenninger ERC,11,0,23,W.German,18,1985-86,24,12
6,Canada,3,0,4,Nat-Tm,8,1985-86,24,1
17,Nova Scotia Oilers,3,0,10,AHL,20,1985-86,24,7
34,Canada,30,0,50,Nat-Tm,68,1986-87,25,20
10,Vienna EV,9,0,21,Austria,21,1987-88,26,12
0,Vienna EV,31,0,49,Austria,40,1988-89,27,18
4,Canada,2,0,4,Nat-Tm,8,1988-89,27,2
38,Boras HC,23,0,42,Sweden-3,31,1989-90,28,19
6,Canada,7,0,11,Nat-Tm,18,1990-91,29,4
0,Mannheimer ERC,8,0,11,Germany,11,1991-92,30,3
0,HC Davos,0,0,1,Swiss-2,4,1991-92,30,1
