won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,13,PHI,799,22,5,0,0,37,0,0,0,1,8,0,0,0,0,0,1979-80,0,2.78,2,0
,0,NHL,3,PHI,180,23,1,0,0,12,0,0,0,0,2,0,0,0,0,0,1980-81,0,4.00,19,0
,0,NHL,4,PHI,220,24,2,0,0,17,0,0,0,0,1,0,0,0,0,0,1981-82,0,4.64,0,0
,0,NHL,0,BOS,0,25,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1982-83,0,3.57,8,0
,0,NHL,3,BOS,180,26,3,0,0,10,0,0,0,0,0,0,0,0,0,.853,1983-84,68,3.33,2,58
,0,NHL,1,BOS,60,27,1,0,0,4,0,0,0,0,0,0,0,0,0,.846,1984-85,26,4.00,0,22
,0,NHL,9,WSH,544,28,4,90,0,24,0,2.53,0,0,5,0,0,0,0,.905,1985-86,253,2.65,2,229
,0,NHL,3,WSH,180,29,2,0,0,9,0,0,0,0,1,0,0,0,0,.882,1986-87,76,3.00,2,67
,0,NHL,12,WSH,654,30,5,80,0,34,0,8.65,0,0,7,0,0,0,0,0,1987-88,326,3.12,4,292
,0,NHL,6,WSH,359,31,4,137,0,24,0,-6.52,0,0,2,0,0,0,0,.854,1988-89,164,4.01,2,140
