shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
3.3,1975-76,6,3,,0,30,2,0,-4,5,BOS,1,20,0,NHL,0,,22,6,[],1
10.0,1976-77,6,2,,0,20,0,2,9,2,BOS,2,21,0,NHL,0,,18,4,[],0
0.0,1977-78,2,0,,0,18,2,0,1,2,BOS,0,22,0,NHL,0,,25,2,[],0
2.6,1978-79,13,1,,0,39,4,0,-4,5,LAK,1,23,0,NHL,0,,27,6,[],1
6.7,1979-80,52,21,,0,165,24,3,14,45,LAK,11,24,0,NHL,0,,63,56,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-28'}]",8
4.9,1980-81,100,7,,0,82,9,3,-7,16,TOT,4,25,0,NHL,0,,58,20,[],1
5.4,1980-81,96,6,,0,74,9,3,-2,15,LAK,4,25,0,NHL,0,,51,19,[],1
0.0,1980-81,4,1,,0,8,0,0,-5,1,VAN,0,25,0,NHL,0,,7,1,[],0
5.3,1981-82,40,4,,0,75,9,3,-11,13,VAN,4,26,0,NHL,0,,37,17,[],1
9.5,1982-83,83,20,,0,199,13,8,-18,33,VAN,19,27,2,NHL,0,,75,52,[],11
6.5,1983-84,35,10,,0,108,6,5,1,16,VAN,7,28,1,NHL,0,,54,23,[],2
4.0,1984-85,82,16,,0,173,11,4,-42,27,VAN,7,29,0,NHL,1,,71,34,[],2
6.6,1985-86,111,10,,1,122,14,5,-19,25,VAN,8,30,0,NHL,0,,70,33,[],3
0.0,1986-87,53,6,,0,29,0,0,-4,6,TOT,0,31,0,NHL,0,,21,6,[],0
0.0,1986-87,34,3,,0,21,0,0,-8,3,VAN,0,31,0,NHL,0,,10,3,[],0
0.0,1986-87,19,3,,0,8,0,0,4,3,DET,0,31,0,NHL,0,,11,3,[],0
5.7,1987-88,130,8,,1,88,12,2,6,21,DET,5,32,1,NHL,0,,70,26,[],3
0.0,1988-89,61,7,,0,13,1,0,-14,8,TOT,0,33,0,NHL,0,,42,8,[],0
0.0,1988-89,36,1,,0,5,0,0,-11,1,DET,0,33,0,NHL,0,,18,1,[],0
0.0,1988-89,25,6,,0,8,1,0,-3,7,EDM,0,33,0,NHL,0,,24,7,[],0
