even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,BOS,0,0,20,0,,NHL,0,1,,1975-76,1,0.0,,0,0,0
0,0,BOS,0,4,21,0,,NHL,0,2,,1976-77,6,0.0,,0,0,0
0,0,LAK,0,12,23,0,,NHL,0,1,,1978-79,1,0.0,,0,0,0
0,0,LAK,0,2,24,0,,NHL,0,0,,1979-80,1,0,,0,0,0
0,1,VAN,0,6,25,0,,NHL,0,1,,1980-81,2,0.0,,0,1,0
2,4,VAN,2,44,26,1,,NHL,0,29,,1981-82,15,6.9,,0,6,4
1,0,VAN,1,21,27,0,,NHL,0,10,,1982-83,4,10.0,,0,1,-1
1,1,VAN,3,2,28,0,,NHL,0,10,,1983-84,4,30.0,,2,4,-4
0,0,VAN,0,4,30,0,,NHL,0,4,,1985-86,3,0.0,,0,0,-2
1,4,DET,1,18,32,0,,NHL,0,9,,1987-88,8,11.1,,0,5,5
0,0,EDM,0,0,33,0,,NHL,0,0,,1988-89,2,0,,0,0,-2
