pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Khimik Voskresensk,0,0,0,Fr-Tour,1,1990-91,19,0
4,Khimik Voskresensk,2,0,8,USSR,30,1990-91,19,6
6,Soviet Union,1,0,4,WJC-A,7,1990-91,19,3
10,Khimik Voskresensk,5,0,12,CIS,36,1991-92,20,7
12,Khimik Voskresensk,3,0,12,CIS,38,1992-93,21,9
16,Khimik Voskresensk,10,0,41,CIS,40,1993-94,22,31
2,Russia,2,0,5,Olympics,8,1993-94,22,3
2,Russia,1,0,3,WC-A,6,1993-94,22,2
8,Kolner Haie,19,0,57,Germany,43,1994-95,23,38
4,Russia,1,0,8,WC-A,6,1994-95,23,7
8,Kolner Haie,31,0,80,Germany,45,1995-96,24,49
2,Russia,5,0,9,WC-A,8,1995-96,24,4
0,Russia,0,0,1,W-Cup,2,1996-97,25,1
2,Russia,2,0,8,WC-A,6,1997-98,26,6
14,CSKA Moscow,3,0,4,Russia,16,2003-04,32,1
