shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
10.4,1982-83,39,24,,0,183,23,8,-4,47,BUF,19,18,2,NHL,0,,77,66,"[{'link': '/awards/voting-1983.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-1983.html#calder', 'name': 'Calder-2'}]",11
13.2,1983-84,33,22,,0,234,24,16,3,46,BUF,31,19,6,NHL,2,,75,77,"[{'link': '/awards/voting-1984.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1984.html#byng', 'name': 'Byng-16'}, {'link': '/awards/voting-1984.html#norris', 'name': 'Norris-5'}]",13
8.5,1984-85,28,27,,1,188,25,13,15,53,BUF,16,20,4,NHL,0,,73,69,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-18'}]",3
8.3,1985-86,54,26,,0,180,21,8,-9,47,BUF,15,21,2,NHL,0,,79,62,[],7
10.4,1986-87,57,30,,0,202,16,12,-2,46,BUF,21,22,2,NHL,1,,78,67,[],8
12.6,1987-88,96,15,,0,231,22,23,-17,37,BUF,29,23,1,NHL,0,,74,66,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-10'}]",6
14.6,1988-89,47,17,,1,178,26,21,6,44,BUF,26,24,3,NHL,0,,72,70,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1989.html#byng', 'name': 'Byng-21'}, {'link': '/awards/voting-1989.html#norris', 'name': 'Norris-9'}]",5
10.4,1989-90,32,31,,0,201,29,12,11,60,BUF,21,25,4,NHL,1,,0,81,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1990.html#byng', 'name': 'Byng-18'}, {'link': '/awards/voting-1990.html#norris', 'name': 'Norris-5'}]",8
11.2,1990-91,24,27,,1,206,25,10,-13,53,WIN,23,26,3,NHL,1,,78,76,"[{'link': '/awards/voting-1991.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1991.html#byng', 'name': 'Byng-8'}]",12
9.8,1991-92,92,17,,0,234,46,12,-5,63,WIN,23,27,4,NHL,0,,74,86,"[{'link': '/awards/nhl_all_star.html#1992', 'name': None}, {'link': '/awards/voting-1992.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1992.html#norris', 'name': 'Norris-3'}]",11
7.2,1992-93,52,29,,0,249,50,12,-14,79,WIN,18,28,2,NHL,0,,80,97,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1993.html#norris', 'name': 'Norris-5'}]",6
11.7,1993-94,12,8,,0,60,7,3,-5,15,STL,7,29,1,NHL,0,,26,22,[],4
5.9,1994-95,18,18,,0,135,17,5,17,35,CGY,8,30,0,NHL,0,,43,43,"[{'link': '/awards/voting-1995.html#AS', 'name': 'AS-6'}]",3
8.3,1995-96,30,22,,0,205,29,11,-6,51,TOT,17,31,1,NHL,0,,81,68,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-1996.html#norris', 'name': 'Norris-14'}]",6
10.3,1995-96,22,15,,0,155,21,10,-2,36,CGY,16,31,1,NHL,0,,59,52,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-1996.html#norris', 'name': 'Norris-14'}]",6
2.0,1995-96,8,7,,0,50,8,1,-4,15,NJD,1,31,0,NHL,0,,22,16,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-1996.html#norris', 'name': 'Norris-14'}]",0
6.6,1996-97,24,12,,0,167,17,7,-10,29,WSH,11,32,2,NHL,1,,77,40,[],3
5.2,1997-98,24,10,,0,116,15,1,-10,25,WSH,6,33,0,NHL,1,,64,31,[],4
5.7,1998-99,52,23,1648,0,193,20,7,14,43,CGY,11,34,1,NHL,0,20:52,79,54,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1999.html#norris', 'name': 'Norris-10'}]",4
6.3,1999-00,24,14,1832,0,176,30,6,-12,44,CGY,11,35,2,NHL,0,23:29,78,55,"[{'link': '/awards/voting-2000.html#AS', 'name': 'AS-16'}]",5
3.5,2000-01,24,15,1253,0,115,15,4,-15,30,CGY,4,36,0,NHL,0,18:10,69,34,[],0
6.9,2001-02,34,10,1741,0,218,14,7,-3,24,CHI,15,37,6,NHL,0,21:46,80,39,"[{'link': '/awards/voting-2002.html#AS', 'name': 'AS-20'}]",8
4.4,2002-03,26,14,1121,0,137,9,4,6,23,TOT,6,38,2,NHL,0,19:20,58,29,[],2
4.5,2002-03,24,14,1105,0,134,9,4,7,23,CHI,6,38,2,NHL,0,19:23,57,29,[],2
0.0,2002-03,2,0,16,0,3,0,0,-1,0,TOR,0,38,0,NHL,0,16:04,1,0,[],0
