even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
2,4,BUF,3,2,18,0,,NHL,0,31,,1982-83,10,9.7,,1,7,-4
0,0,BUF,0,6,19,0,,NHL,0,11,,1983-84,3,0.0,,0,0,-1
3,2,BUF,3,2,20,0,,NHL,0,12,,1984-85,5,25.0,,0,5,0
1,4,BUF,2,6,23,0,,NHL,0,20,,1987-88,6,10.0,,1,6,-5
1,3,BUF,1,2,24,0,,NHL,0,10,,1988-89,5,10.0,,0,4,0
0,4,BUF,1,4,25,0,,NHL,0,16,,1989-90,6,6.3,,1,5,0
0,4,WIN,1,0,27,1,,NHL,0,31,,1991-92,7,3.2,,1,5,-6
0,7,WIN,0,2,28,0,,NHL,0,10,,1992-93,6,0.0,,0,7,-3
0,1,STL,2,4,29,0,,NHL,0,10,,1993-94,4,20.0,,2,3,-3
0,9,CGY,0,0,30,0,,NHL,0,22,,1994-95,7,0.0,,0,9,5
0,4,WSH,0,4,33,0,,NHL,0,27,,1997-98,18,0.0,,0,4,-2
0,1,CHI,0,4,37,0,89,NHL,0,13,17:53,2001-02,5,0.0,,0,1,-1
0,0,TOR,0,0,38,0,41,NHL,0,0,13:36,2002-03,3,0,,0,0,-3
