pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,Brandon Wheat Kings,1,0,4,WCJHL,11,1971-72,16,3
0,Brandon Wheat Kings,1,0,1,WCJHL,6,1972-73,17,0
0,Brandon Wheat Kings,1,0,1,WCJHL,6,1973-74,18,0
6,Brandon Wheat Kings,3,0,5,WCJHL,5,1974-75,19,2
9,Dallas Black Hawks,3,0,3,CHL,6,1980-81,25,0
6,Wichita Wind,0,0,3,CHL,7,1981-82,26,3
4,New Haven Nighthawks,3,0,5,AHL,12,1982-83,27,2
