pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Montreal AAA,0,0,2,CAHL,8,1899-00,22,2
0,Montreal AAA,0,0,3,CAHL,7,1900-01,23,3
6,Montreal AAA,0,0,2,CAHL,8,1901-02,24,2
6,Montreal AAA,0,0,3,CAHL,7,1902-03,25,3
0,Montreal Wanderers,0,0,0,FAHL,4,1903-04,26,0
6,Montreal Wanderers,0,0,0,FAHL,8,1904-05,27,0
