assists,year,games_played,points,goals,team,age,pim,plus_minus,league
3,1945-46,17,11,8,Montreal Jr. Royals,17,6,0,QJHL
19,1946-47,28,30,11,Montreal Jr. Royals,18,28,0,QJHL
21,1947-48,31,43,22,Montreal Jr. Royals,19,10,0,QJHL
17,1948-49,53,29,12,Montreal Royals,20,21,0,QSHL
23,1949-50,57,47,24,Montreal Royals,21,51,0,QSHL
32,1950-51,57,54,22,Montreal Royals,22,27,0,QMHL
21,1951-52,59,42,21,Montreal Royals,23,8,0,QMHL
0,1952-53,2,1,1,Buffalo Bisons,24,0,0,AHL
16,1952-53,51,39,23,Montreal Royals,24,14,0,QMHL
36,1953-54,68,52,16,Montreal Royals,25,14,0,QHL
47,1954-55,62,67,20,Montreal Royals,26,8,0,QHL
25,1955-56,61,39,14,Montreal Royals,27,17,0,QHL
26,1956-57,68,48,22,Montreal Royals,28,34,0,QHL
31,1957-58,61,52,21,Montreal Royals,29,11,0,QHL
31,1958-59,61,46,15,Montreal Royals,30,39,0,QHL
31,1959-60,67,53,22,Montreal Royals,31,33,0,EPHL
9,1960-61,34,17,8,Montreal Royals,32,6,0,EPHL
