age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
28,,0,0,0,-1,NHL,5,0,2006-07,0,0,0,86,0,2,,PIT,0
29,,0.0,0,3,5,NHL,20,0,2007-08,0,4,0,381,0,2,12,PIT,3
30,SC,12.5,1,4,5,NHL,0,0,2008-09,0,8,1,492,0,6,22,PIT,5
31,,0.0,0,0,-4,NHL,6,0,2009-10,0,4,0,124,0,6,8,LAK,0
32,,0.0,0,2,-1,NHL,6,0,2010-11,0,3,0,125,0,0,11,LAK,2
33,SC,0.0,0,1,9,NHL,20,0,2011-12,0,11,0,435,0,4,36,LAK,1
34,,0.0,0,3,9,NHL,18,0,2012-13,0,12,0,420,0,0,30,LAK,3
35,,0.0,0,0,-4,NHL,13,0,2013-14,0,5,0,231,0,6,8,PIT,0
36,,0.0,0,0,0,NHL,5,0,2014-15,0,2,0,110,0,0,7,PIT,0
37,,0.0,0,0,0,NHL,5,0,2015-16,0,3,0,97,0,2,10,LAK,0
