goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
1.4,0,NHL,15,BOS,649,20,6,0,0,32,0,0,0,0,4,0,0,0,0,.890,2000-01,291,2.96,0,[],259
0.1,0,NHL,1,BOS,65,21,0,0,0,3,0,0,1,0,0,0,0,0,0,.897,2001-02,29,2.77,0,[],26
1.0,0,NHL,5,BOS,300,22,3,0,0,12,0,0,0,0,2,0,0,0,0,.918,2002-03,146,2.40,0,[],134
12.6,0,NHL,57,BOS,3420,23,18,83,2,117,0,24.24,9,3,29,2,0,0,0,.926,2003-04,1586,2.05,0,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-6'}, {'link': '/awards/calder.html#2004', 'name': None}, {'link': '/awards/voting-2004.html#hart', 'name': 'Hart-13'}, {'link': '/awards/voting-2004.html#vezina', 'name': 'Vezina-5'}]",1469
3.0,0,NHL,30,BOS,1619,25,19,123,0,100,0,-18.64,2,0,8,0,0,0,0,.879,2005-06,824,3.71,0,[],724
9.4,0,NHL,72,TOR,4108,26,25,112,1,0,0,-22.02,9,2,37,1,0,0,0,.894,2006-07,1931,2.99,8,[],1726
1.2,5,NHL,19,TOR,965,27,9,136,0,63,16,-16.76,5,1,2,0,.250,0,4,.876,2007-08,509,3.92,0,[],446
3.5,4,NHL,31,COL,1722,28,16,118,0,90,27,-13.50,0,0,12,0,.444,0,12,.892,2008-09,836,3.14,2,[],746
2.6,2,NHL,21,VAN,967,29,5,100,0,39,14,-0.14,1,1,9,0,.571,0,8,.911,2009-10,438,2.42,4,[],399
2.5,4,NHL,19,DAL,847,30,5,103,0,40,14,-1.15,0,2,8,0,.500,0,7,.910,2010-11,446,2.83,0,[],406
1.3,2,NHL,10,DAL,529,31,8,0,0,31,8,0,0,0,2,0,.375,0,3,.898,2011-12,303,3.52,0,[],272
