game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,2,0,7,1,1987-88,1,0,0,0,,NHL,0.0,0,21,16,[],1,0,,STL
0,-3,7,0,9,1,1988-89,1,0,0,0,,NHL,0.0,0,22,11,[],1,0,,STL
0,9,14,0,37,1,1989-90,1,0,1,0,,NHL,7.1,0,23,128,[],2,1,,STL
0,-5,29,0,52,3,1990-91,3,0,2,0,,NHL,6.9,0,24,120,[],5,2,,TOT
0,2,20,0,41,3,1990-91,3,0,1,0,,NHL,5.0,0,24,100,[],4,1,,STL
0,-7,9,0,11,0,1990-91,0,0,1,0,,NHL,11.1,0,24,20,[],1,1,,VAN
0,6,44,0,72,7,1991-92,7,0,2,0,,NHL,4.5,0,25,126,[],9,2,,VAN
2,25,41,0,69,8,1992-93,8,0,4,0,,NHL,9.8,0,26,150,[],12,4,,VAN
0,18,42,0,71,3,1993-94,3,0,2,0,,NHL,4.8,0,27,131,[],5,2,,TOT
0,18,38,0,65,3,1993-94,3,0,2,0,,NHL,5.3,0,27,105,[],5,2,,VAN
0,0,4,0,6,0,1993-94,0,0,0,0,,NHL,0.0,0,27,26,[],0,0,,CHI
0,-3,15,0,38,3,1994-95,3,0,1,0,,NHL,6.7,0,28,56,[],4,1,,MDA
0,8,20,0,47,2,1995-96,2,0,1,0,,NHL,5.0,0,29,48,[],3,1,,TOT
0,8,20,0,44,2,1995-96,2,0,1,0,,NHL,5.0,0,29,42,[],3,1,,MDA
0,0,0,0,3,0,1995-96,0,0,0,0,,NHL,0,0,29,6,[],0,0,,MTL
