assists,year,games_played,points,goals,team,age,pim,plus_minus,league
16,1982-83,13,21,5,Kamloops Blazers,16,34,0,BCJHL
12,1983-84,23,13,1,Regina Pats,17,24,0,WHL
0,1984-85,8,0,0,Regina Pats,18,4,0,WHL
5,1985-86,10,8,3,Regina Pats,19,8,0,WHL
0,1996-97,3,0,0,Chicago Wolves,30,0,0,IHL
