power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,1,0,NHL,2000-01,20,0,OTT,55,1,4,-1,0,6,,,0.0,0
0,10,3,0,NHL,2001-02,21,2,OTT,163,1,0,4,0,25,,,8.0,2
0,18,4,1,NHL,2002-03,22,2,OTT,305,2,16,-1,1,36,,,5.6,1
0,7,1,1,NHL,2003-04,23,1,OTT,113,0,4,0,0,13,,,7.7,1
0,10,4,0,NHL,2005-06,25,2,OTT,188,2,12,1,1,20,,,10.0,1
2,20,10,1,NHL,2006-07,26,5,OTT,354,5,24,-2,1,54,,,9.3,2
2,6,5,0,NHL,2009-10,29,2,OTT,138,3,6,-2,0,13,22,,15.4,0
0,12,7,1,NHL,2010-11,30,3,NSH,249,4,11,-1,0,25,51,,12.0,3
0,10,4,0,NHL,2011-12,31,1,NSH,207,3,8,-4,0,21,39,,4.8,1
0,3,1,0,NHL,2014-15,34,0,NSH,35,1,0,1,0,2,5,,0.0,0
1,14,7,1,NHL,2015-16,35,5,NSH,261,2,2,-1,0,35,55,,14.3,4
0,20,4,0,NHL,2016-17,36,0,NSH,346,4,2,-6,0,34,61,,0.0,0
