shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,119,2,0,1991-92,0,0,6.05,IHL,0,12,0,0,2,0,0,22,0,0,0,0,Milwaukee Admirals
0,0,0,0,75,4,0,1992-93,0,1,2.40,AHL,0,3,0,0,0,0,0,23,0,0,0,0,Springfield Indians
