game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,-6,13,0,0,14,0,0,1994-95,0,0,0,0,6,NHL,0.0,0,0,0,0,20,0,,[],0,0,0,,SJS
2,0,-17,73,0,0,74,8,0,1995-96,8,1,13,0,39,NHL,17.8,0,0,0,0,21,0,,[],21,0,12,,SJS
0,0,-18,115,0,0,73,6,0,1996-97,6,1,9,0,42,NHL,7.8,0,0,0,0,22,0,,[],15,0,8,,SJS
0,0,6,81,0,0,67,10,0,1997-98,10,0,8,0,70,NHL,9.9,0,0,0,0,23,0,,[],18,0,8,,TOT
0,0,3,24,0,0,20,3,0,1997-98,3,0,3,0,22,NHL,12.5,0,0,0,0,23,0,,[],6,0,3,,SJS
0,0,3,57,0,0,47,7,0,1997-98,7,0,5,0,48,NHL,8.8,0,0,0,0,23,0,,[],12,0,5,,COL
1,0,4,81,0,0,68,12,0,1998-99,11,0,7,1,37,NHL,8.6,1,0,0,0,24,0,8:46,[],19,0,6,596,COL
1,0,-17,66,0,0,51,7,0,1999-00,5,0,5,1,26,NHL,7.6,2,0,0,0,25,0,11:09,[],12,0,4,569,TOT
0,0,-4,13,0,0,18,0,0,1999-00,0,0,1,0,8,NHL,7.7,0,0,0,0,25,0,5:20,[],1,0,1,96,COL
1,0,-13,53,0,0,33,7,0,1999-00,5,0,4,1,18,NHL,7.5,2,0,0,0,25,0,14:19,[],11,0,3,473,ATL
1,0,-14,93,0,0,63,11,0,2000-01,10,3,12,1,47,NHL,12.9,1,0,0,0,26,0,14:03,[],23,0,8,886,ATL
2,0,-21,82,0,1,61,7,0,2001-02,6,0,8,1,44,NHL,9.8,0,0,0,0,27,0,13:43,[],15,0,7,837,TOT
2,0,-16,64,0,0,48,6,0,2001-02,6,0,6,1,40,NHL,9.4,0,0,0,0,27,0,13:30,[],12,0,5,648,ATL
0,0,-5,18,0,1,13,1,0,2001-02,0,0,2,0,4,NHL,11.1,0,0,0,0,27,0,14:34,[],3,0,2,189,PIT
1,0,-8,88,0,0,65,7,0,2002-03,7,1,5,0,37,NHL,5.7,0,0,0,0,28,0,13:33,[],12,0,4,880,TOT
0,0,-6,66,0,0,52,5,0,2002-03,5,1,4,0,30,NHL,6.1,0,0,0,0,28,0,13:01,[],9,0,3,677,PIT
1,0,-2,22,0,0,13,2,0,2002-03,2,0,1,0,7,NHL,4.5,0,0,0,0,28,0,15:39,[],3,0,1,203,CGY
8,0,14,138,0,0,82,24,0,2003-04,22,3,18,3,72,NHL,13.0,2,0,0,0,29,0,14:55,"[{'link': '/awards/voting-2004.html#selke', 'name': 'Selke-54'}]",42,0,12,1224,CGY
0,0,9,132,0,1,80,11,0,2005-06,10,1,9,0,82,NHL,6.8,0,0,0,0,31,0,11:47,[],20,0,8,943,CGY
0,0,-13,108,0,2,76,11,0,2006-07,9,0,6,0,56,NHL,5.6,0,0,0,0,32,0,14:09,[],17,0,6,1076,BOS
3,24,-3,91,18,0,82,7,11,2007-08,7,0,5,0,73,NHL,5.5,0,68,37.9,15,33,145,9:35,[],12,16,5,785,OTT
1,19,-2,58,5,0,65,5,4,2008-09,5,0,5,0,34,NHL,8.6,0,20,44.4,17,34,91,7:50,[],10,8,5,509,OTT
0,4,-4,24,5,0,30,3,0,2009-10,3,0,2,0,40,NHL,8.3,0,21,0.0,0,35,36,7:26,[],5,4,2,223,OTT
