shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
515,0,1,452,1083,20,2,2000-01,0,3,3.49,NHL,0,63,126,-13.18,15,0,.878,19,1.7,6,[],0,2,0,NYI
273,0,2,244,585,10,0,2002-03,0,2,2.97,NHL,0,29,0,0,5,0,.894,21,1.2,2,[],0,0,0,NYI
1261,0,5,1149,2844,50,2,2003-04,0,23,2.36,NHL,0,112,100,0.30,18,0,.911,22,7.8,22,[],5,2,0,NYI
1797,0,5,1617,3572,63,1,2005-06,0,30,3.02,NHL,0,180,101,-2.58,24,0,.900,24,10.6,28,[],1,1,0,NYI
1917,0,9,1761,3627,62,2,2006-07,0,32,2.58,NHL,0,156,86,25.65,19,0,.919,25,14.6,24,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-2007.html#vezina', 'name': 'Vezina-8'}]",5,2,0,NYI
1779,.397,7,1605,3707,63,6,2007-08,0,26,2.82,NHL,63,174,108,-12.39,28,25,.902,26,9.6,18,[],3,6,11,NYI
139,.400,0,124,256,5,2,2008-09,0,1,3.52,NHL,5,15,0,0,3,2,.892,27,0.6,2,[],0,2,3,NYI
201,.500,0,181,462,8,1,2009-10,0,2,2.60,NHL,6,20,0,0,5,3,.900,28,1.0,2,[],1,1,0,NYI
773,.360,4,685,1533,26,1,2010-11,0,8,3.44,NHL,25,88,131,-20.66,14,9,.886,29,2.2,25,[],1,1,7,NYI
177,.167,3,155,354,8,2,2011-12,0,3,3.73,NHL,6,22,0,0,2,1,.876,30,0.3,0,[],0,2,2,NYI
83,.000,0,71,176,3,0,2012-13,0,0,4.09,NHL,3,12,0,0,3,0,.855,31,-0.1,0,[],0,0,1,NYI
