shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,won,bad_start,team
3,0,0,3,15,1,0,2002-03,0,0,0.00,NHL,0,0,0,0,0,0,1.000,21,0,0,0,,0,NYI
120,0,0,109,303,5,0,2003-04,0,1,2.18,NHL,0,11,118,-1.69,4,0,.908,22,0,1,0,,0,NYI
127,0,0,114,236,4,0,2006-07,0,1,3.31,NHL,0,13,126,-2.69,3,0,.898,25,0,0,0,,0,NYI
