pim,team,assists,plus_minus,points,league,games_played,year,age,goals
6,Winnipeg Rangers,6,0,23,MJHL,16,1936-37,17,17
10,Duluth Zephyrs,11,0,37,IASHL,27,1937-38,18,26
6,Duluth Zephyrs,1,0,8,IASHL,10,1938-39,19,7
12,Duluth Zephyrs,2,0,10,USHL,12,1938-39,19,8
16,Omaha Knights,15,0,28,AHA,37,1939-40,20,13
6,Omaha Knights,2,0,5,AHA,18,1940-41,21,3
6,Indianapolis Capitols,4,0,7,AHL,13,1940-41,21,3
17,Quebec Aces,5,0,15,QSHL,30,1941-42,22,10
0,Quebec Aces,17,0,37,QSHL,31,1942-43,23,20
6,Quebec Aces,27,0,41,QSHL,25,1943-44,24,14
0,Quebec Aces,4,0,5,QSHL,2,1944-45,25,1
16,Indianapolis Capitols,19,0,38,AHL,42,1947-48,28,19
16,Indianapolis Capitols,18,0,38,AHL,61,1948-49,29,20
16,Omaha Knights,40,0,83,USHL,69,1949-50,30,43
10,Omaha Knights,27,0,66,USHL,56,1950-51,31,39
0,Indianapolis Capitols,21,0,41,AHL,56,1951-52,32,20
2,Milwaukee Clarks,28,0,51,IHL,43,1952-53,33,23
4,Sherbrooke Saints,35,0,39,QHL,71,1953-54,34,4
