shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
14.3,0,2000-01,20,16,1006,2,0,0,133,5,12,8,23,OTT,19,0,0,19,5,NHL,0,0,13:47,0,73,0,42,"[{'link': '/awards/voting-2001.html#calder', 'name': 'Calder-3'}]",7
15.2,0,2001-02,66,18,1063,0,0,0,145,10,13,-7,28,OTT,22,0,0,20,6,NHL,0,0,14:46,0,72,0,50,[],9
13.4,0,2002-03,30,26,1102,0,0,0,179,9,15,20,35,OTT,24,0,0,21,4,NHL,0,0,16:27,0,67,0,59,[],9
17.7,0,2003-04,46,20,1138,0,0,0,175,17,18,12,37,OTT,31,0,0,22,7,NHL,0,0,16:44,0,68,0,68,[],13
15.8,0,2005-06,4,3,327,1,0,0,57,3,6,6,7,OTT,9,0,0,24,1,NHL,1,0,18:11,0,18,0,16,[],2
14.2,0,2006-07,28,20,1198,1,0,0,176,11,20,15,32,CHI,25,0,0,25,1,NHL,0,0,21:24,0,56,0,57,[],5
11.5,3,2007-08,22,13,650,0,7,121,87,4,7,4,17,CHI,10,19,0.0,26,2,NHL,0,9,18:35,5,35,0,27,[],3
11.6,6,2008-09,30,39,1410,0,16,352,249,9,24,29,48,CHI,29,30,25.0,27,5,NHL,0,12,17:25,19,81,2,77,"[{'link': '/awards/voting-2009.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-2009.html#byng', 'name': 'Byng-10'}, {'link': '/awards/voting-2009.html#selke', 'name': 'Selke-46'}]",5
10.7,6,2009-10,34,22,1309,0,31,295,169,14,14,-19,36,MIN,18,30,50.0,28,3,NHL,0,17,17:56,21,73,6,54,[],4
9.6,7,2010-11,52,29,1431,0,47,369,229,11,19,-10,40,MIN,22,43,30.0,29,4,NHL,0,24,18:21,34,78,3,62,[],3
7.3,7,2011-12,22,15,687,1,25,171,96,4,3,10,20,SJS,7,19,0.0,30,1,NHL,0,14,17:37,6,39,0,27,[],4
9.0,5,2012-13,30,7,634,0,20,144,89,3,7,7,10,SJS,8,8,16.7,31,1,NHL,0,13,15:51,6,40,1,18,[],1
16.7,4,2013-14,10,9,707,0,34,138,72,1,11,14,10,SJS,12,15,0.0,32,2,NHL,0,14,14:43,9,48,0,22,[],1
10.2,0,2014-15,10,6,592,0,12,84,49,3,2,-11,9,NJD,5,20,0,33,1,NHL,0,11,14:48,11,40,0,14,[],3
33.3,0,2015-16,0,0,22,0,0,4,3,0,1,0,0,STL,1,3,0,34,1,NHL,0,0,10:54,1,2,0,1,[],0
