even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,OTT,0,2,19,0,,NHL,0,7,56,2000-01,4,0.0,,0,0,-4
0,5,OTT,2,14,20,2,,NHL,0,20,196,2001-02,12,10.0,,2,7,0
4,6,OTT,5,14,21,2,,NHL,0,52,296,2002-03,18,9.6,,1,11,4
0,3,OTT,0,2,22,0,,NHL,0,14,113,2003-04,7,0.0,,0,3,-1
4,6,OTT,7,4,24,1,,NHL,0,27,172,2005-06,10,25.9,,3,13,0
5,10,CHI,5,8,27,1,56,NHL,0,35,249,2008-09,16,14.3,,0,15,0
1,1,SJS,2,8,30,1,22,NHL,0,15,95,2011-12,5,13.3,,1,3,-1
0,0,SJS,0,0,31,0,1,NHL,0,1,8,2012-13,2,0.0,,0,0,0
0,0,SJS,0,0,32,0,1,NHL,0,1,12,2013-14,1,0.0,,0,0,-1
